Start |2021-11-20-18:11:50.6966405-05:00
1144|1144|2021-11-20-18:11:50.7019150-05:00
1649|433|2021-11-20-18:11:50.7019816-05:00
1764|1144|2021-11-20-18:11:50.7020033-05:00
433|1323|2021-11-20-18:11:50.7020218-05:00
823|548|2021-11-20-18:11:50.7020509-05:00
1323|984|2021-11-20-18:11:50.7020783-05:00
1666|609|2021-11-20-18:11:50.7021096-05:00
1980|1140|2021-11-20-18:11:50.7021389-05:00
1140|675|2021-11-20-18:11:50.7021812-05:00
548|960|2021-11-20-18:11:50.7022108-05:00
451|984|2021-11-20-18:11:50.7022396-05:00
984|1026|2021-11-20-18:11:50.7022692-05:00
602|1026|2021-11-20-18:11:50.7022980-05:00
609|679|2021-11-20-18:11:50.7023250-05:00
1394|984|2021-11-20-18:11:50.7023470-05:00
1789|984|2021-11-20-18:11:50.7023652-05:00
286|84|2021-11-20-18:11:50.7023831-05:00
675|1026|2021-11-20-18:11:50.7024017-05:00
1624|1026|2021-11-20-18:11:50.7024323-05:00
960|1026|2021-11-20-18:11:50.7024671-05:00
256|1002|2021-11-20-18:11:50.7024861-05:00
1601|1026|2021-11-20-18:11:50.7025040-05:00
1026|1028|2021-11-20-18:11:50.7025243-05:00
1177|690|2021-11-20-18:11:50.7025421-05:00
611|1026|2021-11-20-18:11:50.7025601-05:00
1583|979|2021-11-20-18:11:50.7025779-05:00
798|1026|2021-11-20-18:11:50.7025969-05:00
679|1026|2021-11-20-18:11:50.7026146-05:00
725|582|2021-11-20-18:11:50.7026414-05:00
1389|1026|2021-11-20-18:11:50.7026617-05:00
555|986|2021-11-20-18:11:50.7026798-05:00
1083|1026|2021-11-20-18:11:50.7026978-05:00
1028|1028|2021-11-20-18:11:50.7027161-05:00
84|508|2021-11-20-18:11:50.7027345-05:00
1058|1041|2021-11-20-18:11:50.7027525-05:00
1951|637|2021-11-20-18:11:50.7027706-05:00
511|103|2021-11-20-18:11:50.7027887-05:00
1648|1028|2021-11-20-18:11:50.7028068-05:00
604|1028|2021-11-20-18:11:50.7028249-05:00
1521|1041|2021-11-20-18:11:50.7028428-05:00
228|108|2021-11-20-18:11:50.7028611-05:00
1002|776|2021-11-20-18:11:50.7028796-05:00
1427|1028|2021-11-20-18:11:50.7029391-05:00
1249|1041|2021-11-20-18:11:50.7029592-05:00
1968|1058|2021-11-20-18:11:50.7029773-05:00
1041|1079|2021-11-20-18:11:50.7029955-05:00
127|1083|2021-11-20-18:11:50.7030137-05:00
690|1083|2021-11-20-18:11:50.7030319-05:00
663|1140|2021-11-20-18:11:50.7030499-05:00
1947|588|2021-11-20-18:11:50.7030683-05:00
386|1140|2021-11-20-18:11:50.7030865-05:00
979|1140|2021-11-20-18:11:50.7031109-05:00
1227|1140|2021-11-20-18:11:50.7031299-05:00
1505|1113|2021-11-20-18:11:50.7031480-05:00
1004|1131|2021-11-20-18:11:50.7031659-05:00
1542|835|2021-11-20-18:11:50.7031841-05:00
621|246|2021-11-20-18:11:50.7032022-05:00
582|404|2021-11-20-18:11:50.7032202-05:00
1823|466|2021-11-20-18:11:50.7032387-05:00
1240|400|2021-11-20-18:11:50.7032570-05:00
518|424|2021-11-20-18:11:50.7032752-05:00
986|36|2021-11-20-18:11:50.7032933-05:00
1258|1083|2021-11-20-18:11:50.7033113-05:00
1754|694|2021-11-20-18:11:50.7033342-05:00
1991|1083|2021-11-20-18:11:50.7033526-05:00
1370|491|2021-11-20-18:11:50.7033707-05:00
1957|598|2021-11-20-18:11:50.7033890-05:00
508|1079|2021-11-20-18:11:50.7034072-05:00
1552|786|2021-11-20-18:11:50.7034250-05:00
1442|1076|2021-11-20-18:11:50.7034471-05:00
1273|733|2021-11-20-18:11:50.7034659-05:00
637|1058|2021-11-20-18:11:50.7034844-05:00
66|472|2021-11-20-18:11:50.7035032-05:00
103|1041|2021-11-20-18:11:50.7035220-05:00
730|571|2021-11-20-18:11:50.7035400-05:00
1256|1041|2021-11-20-18:11:50.7035584-05:00
174|843|2021-11-20-18:11:50.7035769-05:00
1779|640|2021-11-20-18:11:50.7035951-05:00
1206|1028|2021-11-20-18:11:50.7036137-05:00
1571|1041|2021-11-20-18:11:50.7036325-05:00
1457|207|2021-11-20-18:11:50.7036508-05:00
108|1028|2021-11-20-18:11:50.7036692-05:00
14|859|2021-11-20-18:11:50.7036877-05:00
776|768|2021-11-20-18:11:50.7037061-05:00
995|1026|2021-11-20-18:11:50.7037241-05:00
1580|180|2021-11-20-18:11:50.7037425-05:00
1858|1026|2021-11-20-18:11:50.7037607-05:00
1522|773|2021-11-20-18:11:50.7037786-05:00
1079|101|2021-11-20-18:11:50.7037973-05:00
1514|1028|2021-11-20-18:11:50.7038165-05:00
1327|1028|2021-11-20-18:11:50.7038353-05:00
1925|515|2021-11-20-18:11:50.7038536-05:00
1826|234|2021-11-20-18:11:50.7038715-05:00
1364|1041|2021-11-20-18:11:50.7038897-05:00
989|1058|2021-11-20-18:11:50.7039083-05:00
1239|1076|2021-11-20-18:11:50.7039271-05:00
1746|764|2021-11-20-18:11:50.7039559-05:00
1674|442|2021-11-20-18:11:50.7039756-05:00
1252|1058|2021-11-20-18:11:50.7039942-05:00
588|1076|2021-11-20-18:11:50.7040349-05:00
1076|1076|2021-11-20-18:11:50.7040551-05:00
1611|1079|2021-11-20-18:11:50.7040732-05:00
1131|85|2021-11-20-18:11:50.7040915-05:00
1215|1079|2021-11-20-18:11:50.7041099-05:00
667|303|2021-11-20-18:11:50.7041280-05:00
1750|68|2021-11-20-18:11:50.7041461-05:00
900|1079|2021-11-20-18:11:50.7041641-05:00
1113|1079|2021-11-20-18:11:50.7041823-05:00
767|1083|2021-11-20-18:11:50.7042006-05:00
1748|3|2021-11-20-18:11:50.7042185-05:00
1361|638|2021-11-20-18:11:50.7042369-05:00
835|1083|2021-11-20-18:11:50.7042552-05:00
1377|1083|2021-11-20-18:11:50.7042734-05:00
246|1083|2021-11-20-18:11:50.7042912-05:00
1783|1085|2021-11-20-18:11:50.7043092-05:00
404|229|2021-11-20-18:11:50.7043270-05:00
958|587|2021-11-20-18:11:50.7043520-05:00
466|1011|2021-11-20-18:11:50.7043706-05:00
747|1083|2021-11-20-18:11:50.7043885-05:00
400|1085|2021-11-20-18:11:50.7044064-05:00
1509|175|2021-11-20-18:11:50.7044243-05:00
424|1085|2021-11-20-18:11:50.7044488-05:00
1434|1085|2021-11-20-18:11:50.7044673-05:00
36|199|2021-11-20-18:11:50.7044852-05:00
113|608|2021-11-20-18:11:50.7045029-05:00
1342|1083|2021-11-20-18:11:50.7045207-05:00
808|1075|2021-11-20-18:11:50.7045382-05:00
694|1083|2021-11-20-18:11:50.7045558-05:00
1102|1083|2021-11-20-18:11:50.7045733-05:00
1484|1085|2021-11-20-18:11:50.7045907-05:00
1506|1087|2021-11-20-18:11:50.7046083-05:00
491|1087|2021-11-20-18:11:50.7046260-05:00
509|716|2021-11-20-18:11:50.7046434-05:00
598|606|2021-11-20-18:11:50.7046613-05:00
475|1083|2021-11-20-18:11:50.7046789-05:00
1849|1083|2021-11-20-18:11:50.7046969-05:00
959|937|2021-11-20-18:11:50.7047144-05:00
786|1079|2021-11-20-18:11:50.7047320-05:00
99|34|2021-11-20-18:11:50.7047494-05:00
1245|659|2021-11-20-18:11:50.7047671-05:00
658|299|2021-11-20-18:11:50.7047847-05:00
733|566|2021-11-20-18:11:50.7048023-05:00
742|812|2021-11-20-18:11:50.7048199-05:00
1331|1058|2021-11-20-18:11:50.7048374-05:00
