Start |2021-11-20-13:53:20.1538576-05:00
1151|1115|2021-11-20-13:53:20.1578656-05:00
1115|1151|2021-11-20-13:53:20.1579167-05:00
1481|1481|2021-11-20-13:53:20.1579375-05:00
1568|227|2021-11-20-13:53:20.1579629-05:00
1565|1151|2021-11-20-13:53:20.1579820-05:00
1657|1210|2021-11-20-13:53:20.1579994-05:00
1006|1210|2021-11-20-13:53:20.1580168-05:00
227|910|2021-11-20-13:53:20.1580376-05:00
768|439|2021-11-20-13:53:20.1580568-05:00
1210|1191|2021-11-20-13:53:20.1580755-05:00
1902|747|2021-11-20-13:53:20.1580945-05:00
1705|297|2021-11-20-13:53:20.1581114-05:00
984|715|2021-11-20-13:53:20.1581300-05:00
1522|1115|2021-11-20-13:53:20.1581486-05:00
1435|853|2021-11-20-13:53:20.1581662-05:00
910|309|2021-11-20-13:53:20.1581848-05:00
934|396|2021-11-20-13:53:20.1582018-05:00
439|1115|2021-11-20-13:53:20.1582275-05:00
1191|531|2021-11-20-13:53:20.1582445-05:00
1877|1034|2021-11-20-13:53:20.1582607-05:00
684|1115|2021-11-20-13:53:20.1582777-05:00
747|1115|2021-11-20-13:53:20.1582960-05:00
1034|1115|2021-11-20-13:53:20.1583142-05:00
297|1076|2021-11-20-13:53:20.1583321-05:00
1701|1076|2021-11-20-13:53:20.1583505-05:00
715|1115|2021-11-20-13:53:20.1583686-05:00
48|182|2021-11-20-13:53:20.1583886-05:00
1400|399|2021-11-20-13:53:20.1584124-05:00
315|1076|2021-11-20-13:53:20.1584311-05:00
853|842|2021-11-20-13:53:20.1584565-05:00
1756|1115|2021-11-20-13:53:20.1584738-05:00
309|1151|2021-11-20-13:53:20.1584914-05:00
1641|1179|2021-11-20-13:53:20.1585080-05:00
396|588|2021-11-20-13:53:20.1585244-05:00
1570|1179|2021-11-20-13:53:20.1585408-05:00
1816|404|2021-11-20-13:53:20.1585570-05:00
546|1151|2021-11-20-13:53:20.1585732-05:00
531|1059|2021-11-20-13:53:20.1585896-05:00
55|1151|2021-11-20-13:53:20.1586060-05:00
1503|1151|2021-11-20-13:53:20.1586224-05:00
1712|966|2021-11-20-13:53:20.1586388-05:00
1624|1102|2021-11-20-13:53:20.1586551-05:00
834|525|2021-11-20-13:53:20.1586716-05:00
1187|1102|2021-11-20-13:53:20.1586880-05:00
135|1102|2021-11-20-13:53:20.1587053-05:00
1714|1115|2021-11-20-13:53:20.1587227-05:00
494|1115|2021-11-20-13:53:20.1587405-05:00
1076|103|2021-11-20-13:53:20.1587568-05:00
961|917|2021-11-20-13:53:20.1587753-05:00
1211|547|2021-11-20-13:53:20.1587920-05:00
1456|1151|2021-11-20-13:53:20.1588138-05:00
1229|1151|2021-11-20-13:53:20.1588307-05:00
295|1047|2021-11-20-13:53:20.1588472-05:00
182|609|2021-11-20-13:53:20.1588636-05:00
1966|895|2021-11-20-13:53:20.1588799-05:00
399|234|2021-11-20-13:53:20.1588962-05:00
80|1076|2021-11-20-13:53:20.1589124-05:00
1179|636|2021-11-20-13:53:20.1589288-05:00
1869|800|2021-11-20-13:53:20.1589454-05:00
842|927|2021-11-20-13:53:20.1589618-05:00
1607|604|2021-11-20-13:53:20.1589782-05:00
1605|780|2021-11-20-13:53:20.1589945-05:00
1914|997|2021-11-20-13:53:20.1590156-05:00
1916|1047|2021-11-20-13:53:20.1590326-05:00
1450|66|2021-11-20-13:53:20.1590490-05:00
1587|986|2021-11-20-13:53:20.1590653-05:00
63|1047|2021-11-20-13:53:20.1590818-05:00
588|317|2021-11-20-13:53:20.1590983-05:00
1955|1047|2021-11-20-13:53:20.1591159-05:00
1620|342|2021-11-20-13:53:20.1591327-05:00
365|1047|2021-11-20-13:53:20.1591496-05:00
404|1059|2021-11-20-13:53:20.1591672-05:00
386|1059|2021-11-20-13:53:20.1591838-05:00
1687|783|2021-11-20-13:53:20.1592002-05:00
166|1047|2021-11-20-13:53:20.1592169-05:00
1059|901|2021-11-20-13:53:20.1592331-05:00
1915|797|2021-11-20-13:53:20.1592494-05:00
1845|1013|2021-11-20-13:53:20.1592658-05:00
163|337|2021-11-20-13:53:20.1592821-05:00
1990|1034|2021-11-20-13:53:20.1592985-05:00
223|1041|2021-11-20-13:53:20.1593150-05:00
966|1041|2021-11-20-13:53:20.1593314-05:00
441|1047|2021-11-20-13:53:20.1593489-05:00
1102|1047|2021-11-20-13:53:20.1593663-05:00
1388|301|2021-11-20-13:53:20.1593844-05:00
525|71|2021-11-20-13:53:20.1594014-05:00
12|177|2021-11-20-13:53:20.1594180-05:00
1449|178|2021-11-20-13:53:20.1594356-05:00
434|625|2021-11-20-13:53:20.1594535-05:00
1165|387|2021-11-20-13:53:20.1595055-05:00
1735|948|2021-11-20-13:53:20.1595240-05:00
1359|530|2021-11-20-13:53:20.1595407-05:00
664|445|2021-11-20-13:53:20.1595572-05:00
1205|997|2021-11-20-13:53:20.1595840-05:00
1895|997|2021-11-20-13:53:20.1596101-05:00
103|997|2021-11-20-13:53:20.1596447-05:00
1711|420|2021-11-20-13:53:20.1596648-05:00
917|22|2021-11-20-13:53:20.1596918-05:00
1733|997|2021-11-20-13:53:20.1597188-05:00
547|1006|2021-11-20-13:53:20.1597461-05:00
1644|949|2021-11-20-13:53:20.1597634-05:00
1905|277|2021-11-20-13:53:20.1597815-05:00
1117|863|2021-11-20-13:53:20.1597985-05:00
1332|226|2021-11-20-13:53:20.1598152-05:00
836|789|2021-11-20-13:53:20.1598317-05:00
1047|997|2021-11-20-13:53:20.1598481-05:00
832|997|2021-11-20-13:53:20.1598651-05:00
609|366|2021-11-20-13:53:20.1598829-05:00
17|285|2021-11-20-13:53:20.1598993-05:00
895|997|2021-11-20-13:53:20.1599160-05:00
484|807|2021-11-20-13:53:20.1599323-05:00
234|235|2021-11-20-13:53:20.1599494-05:00
1013|986|2021-11-20-13:53:20.1599673-05:00
1876|123|2021-11-20-13:53:20.1599854-05:00
621|986|2021-11-20-13:53:20.1600030-05:00
636|997|2021-11-20-13:53:20.1600208-05:00
1164|908|2021-11-20-13:53:20.1600498-05:00
800|997|2021-11-20-13:53:20.1600689-05:00
516|308|2021-11-20-13:53:20.1600870-05:00
927|264|2021-11-20-13:53:20.1601049-05:00
1573|359|2021-11-20-13:53:20.1601230-05:00
604|986|2021-11-20-13:53:20.1601414-05:00
156|997|2021-11-20-13:53:20.1601592-05:00
780|578|2021-11-20-13:53:20.1601769-05:00
1886|662|2021-11-20-13:53:20.1601949-05:00
997|289|2021-11-20-13:53:20.1602121-05:00
1739|872|2021-11-20-13:53:20.1602290-05:00
1176|572|2021-11-20-13:53:20.1602466-05:00
1790|966|2021-11-20-13:53:20.1602647-05:00
66|966|2021-11-20-13:53:20.1602828-05:00
1345|239|2021-11-20-13:53:20.1602999-05:00
986|331|2021-11-20-13:53:20.1603178-05:00
114|196|2021-11-20-13:53:20.1603357-05:00
1614|964|2021-11-20-13:53:20.1603534-05:00
340|964|2021-11-20-13:53:20.1603707-05:00
317|761|2021-11-20-13:53:20.1603889-05:00
1844|561|2021-11-20-13:53:20.1604068-05:00
1094|558|2021-11-20-13:53:20.1604248-05:00
262|890|2021-11-20-13:53:20.1604424-05:00
342|293|2021-11-20-13:53:20.1604589-05:00
1680|949|2021-11-20-13:53:20.1604757-05:00
1395|500|2021-11-20-13:53:20.1604926-05:00
1433|948|2021-11-20-13:53:20.1605198-05:00
1525|949|2021-11-20-13:53:20.1605475-05:00
682|440|2021-11-20-13:53:20.1605854-05:00
1494|698|2021-11-20-13:53:20.1606039-05:00
350|883|2021-11-20-13:53:20.1606219-05:00
783|949|2021-11-20-13:53:20.1606404-05:00
584|953|2021-11-20-13:53:20.1606722-05:00
1258|953|2021-11-20-13:53:20.1606999-05:00
929|961|2021-11-20-13:53:20.1607558-05:00
901|961|2021-11-20-13:53:20.1607760-05:00
406|190|2021-11-20-13:53:20.1607936-05:00
797|110|2021-11-20-13:53:20.1608109-05:00
964|961|2021-11-20-13:53:20.1608280-05:00
1041|964|2021-11-20-13:53:20.1608452-05:00
1751|251|2021-11-20-13:53:20.1608627-05:00
337|599|2021-11-20-13:53:20.1608805-05:00
1447|591|2021-11-20-13:53:20.1608988-05:00
1841|961|2021-11-20-13:53:20.1609172-05:00
1312|716|2021-11-20-13:53:20.1609359-05:00
1660|961|2021-11-20-13:53:20.1609537-05:00
813|964|2021-11-20-13:53:20.1609716-05:00
1954|966|2021-11-20-13:53:20.1609893-05:00
1544|966|2021-11-20-13:53:20.1610074-05:00
1487|974|2021-11-20-13:53:20.1610255-05:00
120|974|2021-11-20-13:53:20.1610429-05:00
1389|84|2021-11-20-13:53:20.1610599-05:00
1530|984|2021-11-20-13:53:20.1610771-05:00
301|81|2021-11-20-13:53:20.1610944-05:00
782|904|2021-11-20-13:53:20.1611572-05:00
71|903|2021-11-20-13:53:20.1611778-05:00
541|173|2021-11-20-13:53:20.1611960-05:00
177|966|2021-11-20-13:53:20.1612142-05:00
1245|974|2021-11-20-13:53:20.1612325-05:00
178|707|2021-11-20-13:53:20.1612500-05:00
1160|776|2021-11-20-13:53:20.1612672-05:00
625|261|2021-11-20-13:53:20.1612844-05:00
99|886|2021-11-20-13:53:20.1613021-05:00
387|13|2021-11-20-13:53:20.1613200-05:00
650|723|2021-11-20-13:53:20.1613371-05:00
948|655|2021-11-20-13:53:20.1613554-05:00
592|964|2021-11-20-13:53:20.1613740-05:00
530|617|2021-11-20-13:53:20.1613986-05:00
1130|964|2021-11-20-13:53:20.1614332-05:00
