Start |2021-11-20-18:12:07.4590424-05:00
454|116|2021-11-20-18:12:07.4674862-05:00
116|206|2021-11-20-18:12:07.4675835-05:00
206|206|2021-11-20-18:12:07.4676201-05:00
1353|436|2021-11-20-18:12:07.4676534-05:00
60|436|2021-11-20-18:12:07.4677372-05:00
1727|35|2021-11-20-18:12:07.4677765-05:00
1093|454|2021-11-20-18:12:07.4678113-05:00
436|640|2021-11-20-18:12:07.4678428-05:00
19|724|2021-11-20-18:12:07.4678734-05:00
724|1063|2021-11-20-18:12:07.4679159-05:00
1892|1063|2021-11-20-18:12:07.4680170-05:00
35|439|2021-11-20-18:12:07.4680559-05:00
1439|82|2021-11-20-18:12:07.4681318-05:00
1063|908|2021-11-20-18:12:07.4681653-05:00
640|460|2021-11-20-18:12:07.4681963-05:00
1592|789|2021-11-20-18:12:07.4682260-05:00
1512|908|2021-11-20-18:12:07.4682578-05:00
1896|601|2021-11-20-18:12:07.4682876-05:00
1685|908|2021-11-20-18:12:07.4683190-05:00
1194|908|2021-11-20-18:12:07.4683499-05:00
908|1063|2021-11-20-18:12:07.4683804-05:00
1693|1060|2021-11-20-18:12:07.4684134-05:00
813|1060|2021-11-20-18:12:07.4684482-05:00
439|987|2021-11-20-18:12:07.4684793-05:00
1496|471|2021-11-20-18:12:07.4685114-05:00
82|1060|2021-11-20-18:12:07.4685409-05:00
168|1063|2021-11-20-18:12:07.4685728-05:00
1939|759|2021-11-20-18:12:07.4686035-05:00
1559|1093|2021-11-20-18:12:07.4686357-05:00
460|1096|2021-11-20-18:12:07.4687076-05:00
1738|1149|2021-11-20-18:12:07.4687479-05:00
789|1149|2021-11-20-18:12:07.4687784-05:00
270|1100|2021-11-20-18:12:07.4688101-05:00
1096|340|2021-11-20-18:12:07.4688401-05:00
1324|40|2021-11-20-18:12:07.4688704-05:00
601|145|2021-11-20-18:12:07.4688995-05:00
676|209|2021-11-20-18:12:07.4689266-05:00
1368|1096|2021-11-20-18:12:07.4689522-05:00
345|1098|2021-11-20-18:12:07.4689839-05:00
1478|1100|2021-11-20-18:12:07.4690139-05:00
1164|1100|2021-11-20-18:12:07.4690435-05:00
1807|1084|2021-11-20-18:12:07.4690734-05:00
191|1098|2021-11-20-18:12:07.4691060-05:00
1060|497|2021-11-20-18:12:07.4691419-05:00
830|562|2021-11-20-18:12:07.4691751-05:00
1765|900|2021-11-20-18:12:07.4692063-05:00
1955|362|2021-11-20-18:12:07.4692326-05:00
987|10|2021-11-20-18:12:07.4692590-05:00
841|623|2021-11-20-18:12:07.4692873-05:00
471|1096|2021-11-20-18:12:07.4693147-05:00
1870|1098|2021-11-20-18:12:07.4693425-05:00
1915|794|2021-11-20-18:12:07.4693952-05:00
1497|1100|2021-11-20-18:12:07.4694572-05:00
1769|1100|2021-11-20-18:12:07.4694979-05:00
1403|305|2021-11-20-18:12:07.4695211-05:00
759|1149|2021-11-20-18:12:07.4695400-05:00
1300|124|2021-11-20-18:12:07.4695629-05:00
1766|385|2021-11-20-18:12:07.4695971-05:00
1853|1100|2021-11-20-18:12:07.4696309-05:00
1982|1100|2021-11-20-18:12:07.4697263-05:00
1557|1149|2021-11-20-18:12:07.4697602-05:00
1149|1149|2021-11-20-18:12:07.4697834-05:00
872|9|2021-11-20-18:12:07.4698113-05:00
1560|1100|2021-11-20-18:12:07.4698428-05:00
979|22|2021-11-20-18:12:07.4698871-05:00
1100|874|2021-11-20-18:12:07.4699302-05:00
1764|1098|2021-11-20-18:12:07.4699555-05:00
340|515|2021-11-20-18:12:07.4699746-05:00
1732|301|2021-11-20-18:12:07.4699957-05:00
