Start |2021-11-20-18:12:16.2691812-05:00
850|850|2021-11-20-18:12:16.2746296-05:00
1321|287|2021-11-20-18:12:16.2746964-05:00
1849|850|2021-11-20-18:12:16.2747285-05:00
287|891|2021-11-20-18:12:16.2747589-05:00
352|891|2021-11-20-18:12:16.2748017-05:00
965|147|2021-11-20-18:12:16.2748318-05:00
891|483|2021-11-20-18:12:16.2748615-05:00
1496|189|2021-11-20-18:12:16.2748910-05:00
699|699|2021-11-20-18:12:16.2749206-05:00
1371|719|2021-11-20-18:12:16.2749500-05:00
374|850|2021-11-20-18:12:16.2749794-05:00
147|850|2021-11-20-18:12:16.2750087-05:00
719|659|2021-11-20-18:12:16.2750378-05:00
483|891|2021-11-20-18:12:16.2750665-05:00
579|434|2021-11-20-18:12:16.2750958-05:00
189|413|2021-11-20-18:12:16.2751249-05:00
593|719|2021-11-20-18:12:16.2751540-05:00
1069|850|2021-11-20-18:12:16.2751831-05:00
1724|503|2021-11-20-18:12:16.2752123-05:00
1801|891|2021-11-20-18:12:16.2752410-05:00
1311|942|2021-11-20-18:12:16.2752667-05:00
1239|315|2021-11-20-18:12:16.2752962-05:00
375|942|2021-11-20-18:12:16.2753319-05:00
1079|946|2021-11-20-18:12:16.2753533-05:00
1652|438|2021-11-20-18:12:16.2753711-05:00
659|942|2021-11-20-18:12:16.2753890-05:00
1495|742|2021-11-20-18:12:16.2754087-05:00
1891|942|2021-11-20-18:12:16.2754262-05:00
72|775|2021-11-20-18:12:16.2754532-05:00
434|942|2021-11-20-18:12:16.2755031-05:00
90|946|2021-11-20-18:12:16.2755262-05:00
413|267|2021-11-20-18:12:16.2755437-05:00
34|949|2021-11-20-18:12:16.2755611-05:00
942|949|2021-11-20-18:12:16.2755786-05:00
1187|655|2021-11-20-18:12:16.2755960-05:00
1926|92|2021-11-20-18:12:16.2756221-05:00
1359|91|2021-11-20-18:12:16.2756506-05:00
503|949|2021-11-20-18:12:16.2756716-05:00
1590|59|2021-11-20-18:12:16.2756893-05:00
1634|965|2021-11-20-18:12:16.2757071-05:00
1843|278|2021-11-20-18:12:16.2757262-05:00
1662|991|2021-11-20-18:12:16.2757577-05:00
80|779|2021-11-20-18:12:16.2757917-05:00
315|965|2021-11-20-18:12:16.2758192-05:00
1578|991|2021-11-20-18:12:16.2758388-05:00
1957|584|2021-11-20-18:12:16.2758565-05:00
946|991|2021-11-20-18:12:16.2758743-05:00
1217|842|2021-11-20-18:12:16.2758918-05:00
801|978|2021-11-20-18:12:16.2759092-05:00
438|991|2021-11-20-18:12:16.2759265-05:00
117|1005|2021-11-20-18:12:16.2759440-05:00
1313|149|2021-11-20-18:12:16.2759615-05:00
153|23|2021-11-20-18:12:16.2759888-05:00
742|61|2021-11-20-18:12:16.2760072-05:00
991|1005|2021-11-20-18:12:16.2760247-05:00
