Start |2021-11-20-18:11:59.6270075-05:00
1613|600|2021-11-20-18:11:59.6322180-05:00
600|600|2021-11-20-18:11:59.6322842-05:00
57|608|2021-11-20-18:11:59.6323055-05:00
608|807|2021-11-20-18:11:59.6323254-05:00
807|453|2021-11-20-18:11:59.6323693-05:00
1685|180|2021-11-20-18:11:59.6323911-05:00
1576|807|2021-11-20-18:11:59.6324099-05:00
1304|807|2021-11-20-18:11:59.6324291-05:00
959|959|2021-11-20-18:11:59.6324481-05:00
453|150|2021-11-20-18:11:59.6324669-05:00
982|982|2021-11-20-18:11:59.6324856-05:00
180|179|2021-11-20-18:11:59.6325043-05:00
563|353|2021-11-20-18:11:59.6325232-05:00
1807|896|2021-11-20-18:11:59.6325417-05:00
460|500|2021-11-20-18:11:59.6325604-05:00
1138|538|2021-11-20-18:11:59.6325792-05:00
1415|896|2021-11-20-18:11:59.6325981-05:00
1157|896|2021-11-20-18:11:59.6326172-05:00
1089|281|2021-11-20-18:11:59.6326359-05:00
150|896|2021-11-20-18:11:59.6326544-05:00
1513|959|2021-11-20-18:11:59.6326732-05:00
1944|982|2021-11-20-18:11:59.6326915-05:00
896|982|2021-11-20-18:11:59.6327136-05:00
179|961|2021-11-20-18:11:59.6327329-05:00
448|55|2021-11-20-18:11:59.6327515-05:00
353|982|2021-11-20-18:11:59.6327702-05:00
38|982|2021-11-20-18:11:59.6328005-05:00
1665|991|2021-11-20-18:11:59.6328291-05:00
271|1014|2021-11-20-18:11:59.6328509-05:00
500|451|2021-11-20-18:11:59.6328793-05:00
1014|1014|2021-11-20-18:11:59.6328988-05:00
538|463|2021-11-20-18:11:59.6329178-05:00
1032|442|2021-11-20-18:11:59.6329366-05:00
1889|676|2021-11-20-18:11:59.6329554-05:00
857|985|2021-11-20-18:11:59.6329742-05:00
1476|991|2021-11-20-18:11:59.6329930-05:00
604|991|2021-11-20-18:11:59.6330119-05:00
281|991|2021-11-20-18:11:59.6330305-05:00
991|991|2021-11-20-18:11:59.6330491-05:00
1746|1014|2021-11-20-18:11:59.6330678-05:00
1612|1018|2021-11-20-18:11:59.6330865-05:00
1538|214|2021-11-20-18:11:59.6331052-05:00
1047|1032|2021-11-20-18:11:59.6331240-05:00
1108|1036|2021-11-20-18:11:59.6331428-05:00
361|1047|2021-11-20-18:11:59.6331616-05:00
1119|718|2021-11-20-18:11:59.6331805-05:00
735|532|2021-11-20-18:11:59.6331991-05:00
961|1036|2021-11-20-18:11:59.6332225-05:00
1916|582|2021-11-20-18:11:59.6332414-05:00
55|1036|2021-11-20-18:11:59.6332599-05:00
1018|59|2021-11-20-18:11:59.6332787-05:00
1161|923|2021-11-20-18:11:59.6332972-05:00
958|1036|2021-11-20-18:11:59.6333214-05:00
1463|1036|2021-11-20-18:11:59.6333411-05:00
1932|1036|2021-11-20-18:11:59.6333657-05:00
1672|1036|2021-11-20-18:11:59.6333960-05:00
1707|817|2021-11-20-18:11:59.6334188-05:00
1878|566|2021-11-20-18:11:59.6334376-05:00
157|814|2021-11-20-18:11:59.6334569-05:00
451|1014|2021-11-20-18:11:59.6334758-05:00
1645|1014|2021-11-20-18:11:59.6334944-05:00
1914|1014|2021-11-20-18:11:59.6335132-05:00
1036|1018|2021-11-20-18:11:59.6335320-05:00
463|1018|2021-11-20-18:11:59.6335508-05:00
1442|835|2021-11-20-18:11:59.6335767-05:00
442|315|2021-11-20-18:11:59.6335962-05:00
1155|1018|2021-11-20-18:11:59.6336151-05:00
676|1032|2021-11-20-18:11:59.6336340-05:00
947|808|2021-11-20-18:11:59.6336528-05:00
985|1032|2021-11-20-18:11:59.6336716-05:00
536|1032|2021-11-20-18:11:59.6336902-05:00
1140|1|2021-11-20-18:11:59.6337088-05:00
167|1018|2021-11-20-18:11:59.6337277-05:00
1347|1018|2021-11-20-18:11:59.6337465-05:00
541|1032|2021-11-20-18:11:59.6337654-05:00
1976|1036|2021-11-20-18:11:59.6337842-05:00
897|77|2021-11-20-18:11:59.6338031-05:00
1792|372|2021-11-20-18:11:59.6338220-05:00
1819|244|2021-11-20-18:11:59.6338407-05:00
1335|1042|2021-11-20-18:11:59.6338596-05:00
1619|1042|2021-11-20-18:11:59.6338784-05:00
1079|82|2021-11-20-18:11:59.6339087-05:00
1749|444|2021-11-20-18:11:59.6339337-05:00
214|158|2021-11-20-18:11:59.6339530-05:00
1481|1036|2021-11-20-18:11:59.6339717-05:00
1856|1042|2021-11-20-18:11:59.6339904-05:00
1573|1042|2021-11-20-18:11:59.6340090-05:00
1563|900|2021-11-20-18:11:59.6340278-05:00
1958|708|2021-11-20-18:11:59.6340466-05:00
1187|1036|2021-11-20-18:11:59.6340651-05:00
1769|1042|2021-11-20-18:11:59.6340836-05:00
718|1047|2021-11-20-18:11:59.6341023-05:00
