1357,1357,2021-11-19-23:34:32.3135802-05:00
825,2182,2021-11-19-23:34:32.3267957-05:00
396,2578,2021-11-19-23:34:32.3268354-05:00
1014,3592,2021-11-19-23:34:32.3268501-05:00
1886,5478,2021-11-19-23:34:32.3268520-05:00
1948,7426,2021-11-19-23:34:32.3268535-05:00
384,7810,2021-11-19-23:34:32.3268548-05:00
1779,9589,2021-11-19-23:34:32.3268561-05:00
412,10001,2021-11-19-23:34:32.3268576-05:00
1587,11588,2021-11-19-23:34:32.3268590-05:00
545,12133,2021-11-19-23:34:32.3268603-05:00
1835,13968,2021-11-19-23:34:32.3268616-05:00
665,14633,2021-11-19-23:34:32.3268628-05:00
1203,15836,2021-11-19-23:34:32.3268641-05:00
347,16183,2021-11-19-23:34:32.3268653-05:00
1228,17411,2021-11-19-23:34:32.3268665-05:00
612,18023,2021-11-19-23:34:32.3268678-05:00
258,18281,2021-11-19-23:34:32.3268690-05:00
336,18617,2021-11-19-23:34:32.3268703-05:00
186,18803,2021-11-19-23:34:32.3268715-05:00
1647,20450,2021-11-19-23:34:32.3268727-05:00
575,21025,2021-11-19-23:34:32.3268740-05:00
1944,22969,2021-11-19-23:34:32.3268752-05:00
1577,24546,2021-11-19-23:34:32.3268771-05:00
278,24824,2021-11-19-23:34:32.3268797-05:00
110,24934,2021-11-19-23:34:32.3268810-05:00
1903,26837,2021-11-19-23:34:32.3268823-05:00
565,27402,2021-11-19-23:34:32.3268836-05:00
365,27767,2021-11-19-23:34:32.3268849-05:00
928,28695,2021-11-19-23:34:32.3268867-05:00
1679,30374,2021-11-19-23:34:32.3268880-05:00
899,31273,2021-11-19-23:34:32.3269054-05:00
1687,32960,2021-11-19-23:34:32.3269083-05:00
1385,34345,2021-11-19-23:34:32.3269098-05:00
676,35021,2021-11-19-23:34:32.3269113-05:00
1267,36288,2021-11-19-23:34:32.3269127-05:00
1546,37834,2021-11-19-23:34:32.3269141-05:00
1854,39688,2021-11-19-23:34:32.3269154-05:00
93,39781,2021-11-19-23:34:32.3269167-05:00
1985,41766,2021-11-19-23:34:32.3269181-05:00
1205,42971,2021-11-19-23:34:32.3269195-05:00
1589,44560,2021-11-19-23:34:32.3269208-05:00
1034,45594,2021-11-19-23:34:32.3269221-05:00
74,45668,2021-11-19-23:34:32.3269235-05:00
1242,46910,2021-11-19-23:34:32.3269248-05:00
800,47710,2021-11-19-23:34:32.3269261-05:00
1831,49541,2021-11-19-23:34:32.3269274-05:00
499,50040,2021-11-19-23:34:32.3269288-05:00
578,50618,2021-11-19-23:34:32.3269301-05:00
1384,52002,2021-11-19-23:34:32.3269315-05:00
1806,53808,2021-11-19-23:34:32.3269329-05:00
111,53919,2021-11-19-23:34:32.3269342-05:00
152,54071,2021-11-19-23:34:32.3269355-05:00
739,54810,2021-11-19-23:34:32.3269369-05:00
487,55297,2021-11-19-23:34:32.3269382-05:00
782,56079,2021-11-19-23:34:32.3269395-05:00
880,56959,2021-11-19-23:34:32.3269408-05:00
818,57777,2021-11-19-23:34:32.3269422-05:00
737,58514,2021-11-19-23:34:32.3269435-05:00
1776,60290,2021-11-19-23:34:32.3269448-05:00
45,60335,2021-11-19-23:34:32.3269461-05:00
1818,62153,2021-11-19-23:34:32.3269550-05:00
1415,63568,2021-11-19-23:34:32.3269571-05:00
1484,65052,2021-11-19-23:34:32.3269586-05:00
1907,66959,2021-11-19-23:34:32.3269600-05:00
1645,68604,2021-11-19-23:34:32.3269614-05:00
148,68752,2021-11-19-23:34:32.3269629-05:00
1279,70031,2021-11-19-23:34:32.3269642-05:00
528,70559,2021-11-19-23:34:32.3269654-05:00
1079,71638,2021-11-19-23:34:32.3269667-05:00
1681,73319,2021-11-19-23:34:32.3269680-05:00
757,74076,2021-11-19-23:34:32.3269692-05:00
166,74242,2021-11-19-23:34:32.3269704-05:00
351,74593,2021-11-19-23:34:32.3269716-05:00
980,75573,2021-11-19-23:34:32.3269728-05:00
58,75631,2021-11-19-23:34:32.3269741-05:00
1541,77172,2021-11-19-23:34:32.3269753-05:00
1871,79043,2021-11-19-23:34:32.3269765-05:00
336,79379,2021-11-19-23:34:32.3269777-05:00
1477,80856,2021-11-19-23:34:32.3269789-05:00
279,81135,2021-11-19-23:34:32.3269801-05:00
1405,82540,2021-11-19-23:34:32.3269813-05:00
1986,84526,2021-11-19-23:34:32.3269826-05:00
981,85507,2021-11-19-23:34:32.3269838-05:00
1121,86628,2021-11-19-23:34:32.3269850-05:00
1569,88197,2021-11-19-23:34:32.3269862-05:00
748,88945,2021-11-19-23:34:32.3269874-05:00
948,89893,2021-11-19-23:34:32.3269886-05:00
899,90792,2021-11-19-23:34:32.3269898-05:00
1893,92685,2021-11-19-23:34:32.3269910-05:00
388,93073,2021-11-19-23:34:32.3269922-05:00
728,93801,2021-11-19-23:34:32.3269934-05:00
1118,94919,2021-11-19-23:34:32.3269946-05:00
316,95235,2021-11-19-23:34:32.3269959-05:00
1941,97176,2021-11-19-23:34:32.3270017-05:00
1387,98563,2021-11-19-23:34:32.3270036-05:00
175,98738,2021-11-19-23:34:32.3270050-05:00
1549,100287,2021-11-19-23:34:32.3270063-05:00
166,100453,2021-11-19-23:34:32.3270077-05:00
1596,102049,2021-11-19-23:34:32.3270091-05:00
652,102701,2021-11-19-23:34:32.3270104-05:00
552,103253,2021-11-19-23:34:32.3270117-05:00
1970,105223,2021-11-19-23:34:32.3270130-05:00
1498,106721,2021-11-19-23:34:32.3270143-05:00
1703,108424,2021-11-19-23:34:32.3270155-05:00
1050,109474,2021-11-19-23:34:32.3270168-05:00
1944,111418,2021-11-19-23:34:32.3270181-05:00
1801,113219,2021-11-19-23:34:32.3270194-05:00
1758,114977,2021-11-19-23:34:32.3270206-05:00
429,115406,2021-11-19-23:34:32.3270219-05:00
1240,116646,2021-11-19-23:34:32.3270231-05:00
1009,117655,2021-11-19-23:34:32.3270243-05:00
483,118138,2021-11-19-23:34:32.3270255-05:00
1259,119397,2021-11-19-23:34:32.3270268-05:00
1497,120894,2021-11-19-23:34:32.3270280-05:00
639,121533,2021-11-19-23:34:32.3270292-05:00
1831,123364,2021-11-19-23:34:32.3270305-05:00
434,123798,2021-11-19-23:34:32.3270317-05:00
364,124162,2021-11-19-23:34:32.3270329-05:00
339,124501,2021-11-19-23:34:32.3270341-05:00
897,125398,2021-11-19-23:34:32.3270353-05:00
1199,126597,2021-11-19-23:34:32.3270431-05:00
380,126977,2021-11-19-23:34:32.3270451-05:00
634,127611,2021-11-19-23:34:32.3270466-05:00
692,128303,2021-11-19-23:34:32.3270479-05:00
953,129256,2021-11-19-23:34:32.3270491-05:00
1638,130894,2021-11-19-23:34:32.3270504-05:00
1849,132743,2021-11-19-23:34:32.3270516-05:00
409,133152,2021-11-19-23:34:32.3270528-05:00
1593,134745,2021-11-19-23:34:32.3270540-05:00
1882,136627,2021-11-19-23:34:32.3270553-05:00
1992,138619,2021-11-19-23:34:32.3270565-05:00
1706,140325,2021-11-19-23:34:32.3270577-05:00
739,141064,2021-11-19-23:34:32.3270589-05:00
825,141889,2021-11-19-23:34:32.3270601-05:00
1726,143615,2021-11-19-23:34:32.3270614-05:00
1435,145050,2021-11-19-23:34:32.3270626-05:00
489,145539,2021-11-19-23:34:32.3270638-05:00
1278,146817,2021-11-19-23:34:32.3270650-05:00
71,146888,2021-11-19-23:34:32.3270662-05:00
1624,148512,2021-11-19-23:34:32.3270674-05:00
947,149459,2021-11-19-23:34:32.3270687-05:00
1190,150649,2021-11-19-23:34:32.3270699-05:00
471,151120,2021-11-19-23:34:32.3270711-05:00
654,151774,2021-11-19-23:34:32.3270723-05:00
1378,153152,2021-11-19-23:34:32.3270735-05:00
246,153398,2021-11-19-23:34:32.3270748-05:00
1858,155256,2021-11-19-23:34:32.3270760-05:00
