843,2021-11-19-23:31:58.5649053-05:00
1863,2021-11-19-23:31:58.5818454-05:00
3689,2021-11-19-23:31:58.5818942-05:00
5200,2021-11-19-23:31:58.5819014-05:00
5631,2021-11-19-23:31:58.5819034-05:00
7564,2021-11-19-23:31:58.5819050-05:00
8543,2021-11-19-23:31:58.5819065-05:00
10390,2021-11-19-23:31:58.5819079-05:00
11146,2021-11-19-23:31:58.5819094-05:00
12904,2021-11-19-23:31:58.5819108-05:00
14711,2021-11-19-23:31:58.5819122-05:00
16581,2021-11-19-23:31:58.5819135-05:00
17223,2021-11-19-23:31:58.5819148-05:00
17793,2021-11-19-23:31:58.5819161-05:00
19752,2021-11-19-23:31:58.5819176-05:00
20855,2021-11-19-23:31:58.5819190-05:00
21566,2021-11-19-23:31:58.5819204-05:00
21620,2021-11-19-23:31:58.5819217-05:00
22835,2021-11-19-23:31:58.5819230-05:00
23292,2021-11-19-23:31:58.5819243-05:00
24471,2021-11-19-23:31:58.5819256-05:00
25949,2021-11-19-23:31:58.5819269-05:00
27703,2021-11-19-23:31:58.5819283-05:00
29491,2021-11-19-23:31:58.5819296-05:00
31266,2021-11-19-23:31:58.5819321-05:00
32754,2021-11-19-23:31:58.5819336-05:00
34097,2021-11-19-23:31:58.5819349-05:00
35762,2021-11-19-23:31:58.5819362-05:00
37413,2021-11-19-23:31:58.5819375-05:00
38179,2021-11-19-23:31:58.5819403-05:00
39916,2021-11-19-23:31:58.5819495-05:00
39982,2021-11-19-23:31:58.5819518-05:00
41330,2021-11-19-23:31:58.5819534-05:00
43122,2021-11-19-23:31:58.5819638-05:00
44879,2021-11-19-23:31:58.5819662-05:00
45157,2021-11-19-23:31:58.5819679-05:00
45825,2021-11-19-23:31:58.5819693-05:00
47481,2021-11-19-23:31:58.5819708-05:00
48362,2021-11-19-23:31:58.5819721-05:00
49110,2021-11-19-23:31:58.5819735-05:00
49568,2021-11-19-23:31:58.5819748-05:00
49633,2021-11-19-23:31:58.5819762-05:00
50669,2021-11-19-23:31:58.5819776-05:00
52120,2021-11-19-23:31:58.5819789-05:00
53131,2021-11-19-23:31:58.5819803-05:00
54408,2021-11-19-23:31:58.5819817-05:00
54615,2021-11-19-23:31:58.5819831-05:00
54757,2021-11-19-23:31:58.5819845-05:00
56535,2021-11-19-23:31:58.5819858-05:00
56590,2021-11-19-23:31:58.5819872-05:00
57053,2021-11-19-23:31:58.5819886-05:00
57841,2021-11-19-23:31:58.5819899-05:00
59233,2021-11-19-23:31:58.5819913-05:00
60194,2021-11-19-23:31:58.5819926-05:00
60900,2021-11-19-23:31:58.5819940-05:00
62265,2021-11-19-23:31:58.5819954-05:00
63530,2021-11-19-23:31:58.5819967-05:00
63568,2021-11-19-23:31:58.5819980-05:00
65303,2021-11-19-23:31:58.5820068-05:00
66245,2021-11-19-23:31:58.5820090-05:00
66836,2021-11-19-23:31:58.5820106-05:00
68149,2021-11-19-23:31:58.5820121-05:00
68346,2021-11-19-23:31:58.5820136-05:00
70336,2021-11-19-23:31:58.5820151-05:00
70357,2021-11-19-23:31:58.5820165-05:00
72099,2021-11-19-23:31:58.5820179-05:00
72622,2021-11-19-23:31:58.5820193-05:00
73471,2021-11-19-23:31:58.5820207-05:00
74284,2021-11-19-23:31:58.5820221-05:00
75966,2021-11-19-23:31:58.5820235-05:00
76402,2021-11-19-23:31:58.5820248-05:00
77456,2021-11-19-23:31:58.5820262-05:00
78629,2021-11-19-23:31:58.5820276-05:00
79097,2021-11-19-23:31:58.5820289-05:00
81095,2021-11-19-23:31:58.5820303-05:00
82210,2021-11-19-23:31:58.5820316-05:00
82653,2021-11-19-23:31:58.5820329-05:00
82957,2021-11-19-23:31:58.5820343-05:00
83734,2021-11-19-23:31:58.5820356-05:00
