Start |2021-11-20-16:20:29.2371717-05:00
1237,1237,2021-11-20-16:20:29.2408638-05:00
791,2028,2021-11-20-16:20:29.2410779-05:00
1027,3055,2021-11-20-16:20:29.2410935-05:00
1342,4397,2021-11-20-16:20:29.2410971-05:00
400,4797,2021-11-20-16:20:29.2410996-05:00
1459,6256,2021-11-20-16:20:29.2411018-05:00
1718,7974,2021-11-20-16:20:29.2411040-05:00
971,8945,2021-11-20-16:20:29.2411063-05:00
1227,10172,2021-11-20-16:20:29.2411085-05:00
332,10504,2021-11-20-16:20:29.2411107-05:00
333,10837,2021-11-20-16:20:29.2411130-05:00
1705,12542,2021-11-20-16:20:29.2411151-05:00
1120,13662,2021-11-20-16:20:29.2411171-05:00
637,14299,2021-11-20-16:20:29.2411202-05:00
872,15171,2021-11-20-16:20:29.2411300-05:00
1442,16613,2021-11-20-16:20:29.2411331-05:00
1122,17735,2021-11-20-16:20:29.2411355-05:00
534,18269,2021-11-20-16:20:29.2411377-05:00
493,18762,2021-11-20-16:20:29.2411399-05:00
1909,20671,2021-11-20-16:20:29.2411421-05:00
830,21501,2021-11-20-16:20:29.2411442-05:00
1907,23408,2021-11-20-16:20:29.2411464-05:00
248,23656,2021-11-20-16:20:29.2411494-05:00
66,23722,2021-11-20-16:20:29.2411516-05:00
387,24109,2021-11-20-16:20:29.2411537-05:00
409,24518,2021-11-20-16:20:29.2411558-05:00
142,24660,2021-11-20-16:20:29.2411578-05:00
1561,26221,2021-11-20-16:20:29.2411600-05:00
1039,27260,2021-11-20-16:20:29.2411633-05:00
1335,28595,2021-11-20-16:20:29.2411668-05:00
1117,29712,2021-11-20-16:20:29.2411691-05:00
1586,31298,2021-11-20-16:20:29.2411712-05:00
960,32258,2021-11-20-16:20:29.2411733-05:00
1985,34243,2021-11-20-16:20:29.2411753-05:00
1756,35999,2021-11-20-16:20:29.2411774-05:00
1556,37555,2021-11-20-16:20:29.2411794-05:00
1197,38752,2021-11-20-16:20:29.2411815-05:00
828,39580,2021-11-20-16:20:29.2411894-05:00
1925,41505,2021-11-20-16:20:29.2411920-05:00
949,42454,2021-11-20-16:20:29.2411942-05:00
904,43358,2021-11-20-16:20:29.2411963-05:00
317,43675,2021-11-20-16:20:29.2411984-05:00
780,44455,2021-11-20-16:20:29.2412004-05:00
1628,46083,2021-11-20-16:20:29.2412025-05:00
769,46852,2021-11-20-16:20:29.2412045-05:00
1517,48369,2021-11-20-16:20:29.2412066-05:00
744,49113,2021-11-20-16:20:29.2412087-05:00
881,49994,2021-11-20-16:20:29.2412107-05:00
1394,51388,2021-11-20-16:20:29.2412128-05:00
131,51519,2021-11-20-16:20:29.2412149-05:00
947,52466,2021-11-20-16:20:29.2412169-05:00
469,52935,2021-11-20-16:20:29.2412190-05:00
1749,54684,2021-11-20-16:20:29.2412211-05:00
473,55157,2021-11-20-16:20:29.2412231-05:00
952,56109,2021-11-20-16:20:29.2412252-05:00
1330,57439,2021-11-20-16:20:29.2412272-05:00
544,57983,2021-11-20-16:20:29.2412370-05:00
962,58945,2021-11-20-16:20:29.2412401-05:00
955,59900,2021-11-20-16:20:29.2412423-05:00
1990,61890,2021-11-20-16:20:29.2412445-05:00
1318,63208,2021-11-20-16:20:29.2412467-05:00
157,63365,2021-11-20-16:20:29.2412487-05:00
1931,65296,2021-11-20-16:20:29.2412508-05:00
1891,67187,2021-11-20-16:20:29.2412529-05:00
1214,68401,2021-11-20-16:20:29.2412551-05:00
746,69147,2021-11-20-16:20:29.2412571-05:00
745,69892,2021-11-20-16:20:29.2412592-05:00
