Start |2021-11-20-17:27:40.5358567-05:00
1308,1308,2021-11-20-17:27:40.5397258-05:00
1375,1798500,2021-11-20-17:27:40.5399502-05:00
605,1088092500,2021-11-20-17:27:40.5399666-05:00
869,945552382500,2021-11-20-17:27:40.5399708-05:00
1952,1845718250640000,2021-11-20-17:27:40.5399736-05:00
1613,2,97714353828232E+18,2021-11-20-17:27:40.5399760-05:00
1414,4,2096809631312E+21,2021-11-20-17:27:40.5399945-05:00
1907,8,027861596691199E+24,2021-11-20-17:27:40.5399988-05:00
1218,9,777935424769881E+27,2021-11-20-17:27:40.5400016-05:00
981,9,592154651699253E+30,2021-11-20-17:27:40.5400040-05:00
1967,1,8867768199892432E+34,2021-11-20-17:27:40.5400064-05:00
1633,3,081106547042434E+37,2021-11-20-17:27:40.5400089-05:00
691,2,129044624006322E+40,2021-11-20-17:27:40.5400111-05:00
582,1,2391039711716795E+43,2021-11-20-17:27:40.5400214-05:00
477,5,91052594248891E+45,2021-11-20-17:27:40.5400248-05:00
1197,7,074899553159226E+48,2021-11-20-17:27:40.5400271-05:00
452,3,19785459802797E+51,2021-11-20-17:27:40.5400295-05:00
1108,3,54322289461499E+54,2021-11-20-17:27:40.5400318-05:00
1108,3,925890967233409E+57,2021-11-20-17:27:40.5400341-05:00
884,3,470487615034333E+60,2021-11-20-17:27:40.5400363-05:00
473,1,6415406419112396E+63,2021-11-20-17:27:40.5400385-05:00
1429,2,3457615772911616E+66,2021-11-20-17:27:40.5400406-05:00
556,1,3042434369738858E+69,2021-11-20-17:27:40.5400450-05:00
894,1,165993632654654E+72,2021-11-20-17:27:40.5400475-05:00
230,2,681785355105704E+74,2021-11-20-17:27:40.5400497-05:00
1674,4,4893086844469485E+77,2021-11-20-17:27:40.5400519-05:00
661,2,967433040419433E+80,2021-11-20-17:27:40.5400540-05:00
693,2,056431097010667E+83,2021-11-20-17:27:40.5400561-05:00
1528,3,142226716232299E+86,2021-11-20-17:27:40.5400582-05:00
1049,3,296195825327682E+89,2021-11-20-17:27:40.5400610-05:00
1011,3,3324539794062863E+92,2021-11-20-17:27:40.5400632-05:00
1298,4,3255252652693596E+95,2021-11-20-17:27:40.5400655-05:00
1676,7,249580344591447E+98,2021-11-20-17:27:40.5400676-05:00
94,6,81460552391596E+100,2021-11-20-17:27:40.5400748-05:00
1672,1,1394020435987485E+104,2021-11-20-17:27:40.5400776-05:00
1506,1,7159394776597153E+107,2021-11-20-17:27:40.5400799-05:00
1281,2,1981184708820952E+110,2021-11-20-17:27:40.5400822-05:00
606,1,3320597933545497E+113,2021-11-20-17:27:40.5400846-05:00
1553,2,0686888590796156E+116,2021-11-20-17:27:40.5400868-05:00
1711,3,539526637885222E+119,2021-11-20-17:27:40.5400890-05:00
1597,5,6526240407027E+122,2021-11-20-17:27:40.5400912-05:00
270,1,5262084909897289E+125,2021-11-20-17:27:40.5400933-05:00
1312,2,0023855401785243E+128,2021-11-20-17:27:40.5400958-05:00
1759,3,5221961651740242E+131,2021-11-20-17:27:40.5401027-05:00
24,8,453270796417659E+132,2021-11-20-17:27:40.5401057-05:00
1488,1,2578466945069477E+136,2021-11-20-17:27:40.5401080-05:00
734,9,232594737680997E+138,2021-11-20-17:27:40.5401103-05:00
1742,1,6083180033040297E+142,2021-11-20-17:27:40.5401125-05:00
1505,2,4205185949725647E+145,2021-11-20-17:27:40.5401148-05:00
819,1,9824047292825305E+148,2021-11-20-17:27:40.5401169-05:00
216,4,281994215250266E+150,2021-11-20-17:27:40.5401191-05:00
24,1,0276786116600638E+152,2021-11-20-17:27:40.5401213-05:00
1655,1,7008081022974057E+155,2021-11-20-17:27:40.5401234-05:00
644,1,0953204178795292E+158,2021-11-20-17:27:40.5401256-05:00
1961,2,1479233394617568E+161,2021-11-20-17:27:40.5401277-05:00
1879,4,0359479548486413E+164,2021-11-20-17:27:40.5401299-05:00
820,3,309477322975886E+167,2021-11-20-17:27:40.5401320-05:00
1710,5,659206222288766E+170,2021-11-20-17:27:40.5401342-05:00
640,3,62189198226481E+173,2021-11-20-17:27:40.5401365-05:00
278,1,0068859710696172E+176,2021-11-20-17:27:40.5401385-05:00
953,9,595623304293452E+178,2021-11-20-17:27:40.5401406-05:00
722,6,928040025699872E+181,2021-11-20-17:27:40.5401427-05:00
379,2,6257271697402517E+184,2021-11-20-17:27:40.5401448-05:00
170,4,463736188558428E+186,2021-11-20-17:27:40.5401468-05:00
1970,8,793560291460103E+189,2021-11-20-17:27:40.5401489-05:00
670,5,891685395278269E+192,2021-11-20-17:27:40.5401510-05:00
1957,1,1530028318559573E+196,2021-11-20-17:27:40.5401530-05:00
597,6,883426906180065E+198,2021-11-20-17:27:40.5401551-05:00
909,6,257035057717679E+201,2021-11-20-17:27:40.5401571-05:00
971,6,075581041043866E+204,2021-11-20-17:27:40.5401591-05:00
1916,1,1640813274640048E+208,2021-11-20-17:27:40.5401612-05:00
1846,2,148894130498553E+211,2021-11-20-17:27:40.5401633-05:00
1554,3,3393814787947515E+214,2021-11-20-17:27:40.5401698-05:00
1397,4,665115925876268E+217,2021-11-20-17:27:40.5401727-05:00
1286,5,99933908067688E+220,2021-11-20-17:27:40.5401750-05:00
203,1,2178658333774066E+223,2021-11-20-17:27:40.5401773-05:00
117,1,4249030250515656E+225,2021-11-20-17:27:40.5401795-05:00
796,1,1342228079410463E+228,2021-11-20-17:27:40.5401817-05:00
871,9,879080657166513E+230,2021-11-20-17:27:40.5401839-05:00
741,7,320398766960387E+233,2021-11-20-17:27:40.5401860-05:00
940,6,8811748409427635E+236,2021-11-20-17:27:40.5401882-05:00
918,6,316918503985457E+239,2021-11-20-17:27:40.5401905-05:00
1187,7,4981822642307375E+242,2021-11-20-17:27:40.5401926-05:00
710,5,323709407603823E+245,2021-11-20-17:27:40.5402021-05:00
833,4,434649936533985E+248,2021-11-20-17:27:40.5402052-05:00
987,4,376999487359043E+251,2021-11-20-17:27:40.5402076-05:00
1642,7,187033158243548E+254,2021-11-20-17:27:40.5402098-05:00
1032,7,417018219307342E+257,2021-11-20-17:27:40.5402120-05:00
133,9,864634231678764E+259,2021-11-20-17:27:40.5402142-05:00
1793,1,7687289177400026E+263,2021-11-20-17:27:40.5402162-05:00
