Start |2021-11-20-17:27:50.5038145-05:00
1978,1978,2021-11-20-17:27:50.5073716-05:00
875,1730750,2021-11-20-17:27:50.5075973-05:00
1180,2042285000,2021-11-20-17:27:50.5076147-05:00
1599,3265613715000,2021-11-20-17:27:50.5076187-05:00
1780,5812792412700000,2021-11-20-17:27:50.5076212-05:00
622,3,6155568806994E+18,2021-11-20-17:27:50.5076234-05:00
993,3,590247982534504E+21,2021-11-20-17:27:50.5076412-05:00
200,7,180495965069008E+23,2021-11-20-17:27:50.5076459-05:00
281,2,0177193661843912E+26,2021-11-20-17:27:50.5076486-05:00
1426,2,877267816178942E+29,2021-11-20-17:27:50.5076509-05:00
1306,3,757711767929698E+32,2021-11-20-17:27:50.5076531-05:00
402,1,5106001307077386E+35,2021-11-20-17:27:50.5076553-05:00
1498,2,2628789958001926E+38,2021-11-20-17:27:50.5076644-05:00
1790,4,050553402482345E+41,2021-11-20-17:27:50.5076691-05:00
1191,4,824209102356473E+44,2021-11-20-17:27:50.5076714-05:00
1441,6,9516853164956776E+47,2021-11-20-17:27:50.5076736-05:00
142,9,871393149423862E+49,2021-11-20-17:27:50.5076758-05:00
1050,1,0364962806895055E+53,2021-11-20-17:27:50.5076779-05:00
1341,1,3899415124046268E+56,2021-11-20-17:27:50.5076801-05:00
1140,1,5845333241412746E+59,2021-11-20-17:27:50.5076823-05:00
1459,2,3118341199221196E+62,2021-11-20-17:27:50.5076844-05:00
292,6,750555630172589E+64,2021-11-20-17:27:50.5076874-05:00
1769,1,194173290977531E+68,2021-11-20-17:27:50.5076902-05:00
1134,1,35419251196852E+71,2021-11-20-17:27:50.5076925-05:00
1668,2,2587931099634914E+74,2021-11-20-17:27:50.5076945-05:00
1162,2,624717593777577E+77,2021-11-20-17:27:50.5076965-05:00
952,2,4987311492762534E+80,2021-11-20-17:27:50.5076985-05:00
298,7,446218824843235E+82,2021-11-20-17:27:50.5077005-05:00
1111,8,272749114400835E+85,2021-11-20-17:27:50.5077025-05:00
435,3,598645864764363E+88,2021-11-20-17:27:50.5077048-05:00
375,1,349492199286636E+91,2021-11-20-17:27:50.5077069-05:00
1478,1,994549470545648E+94,2021-11-20-17:27:50.5077089-05:00
1332,2,656739894766803E+97,2021-11-20-17:27:50.5077156-05:00
1722,4,574906098788435E+100,2021-11-20-17:27:50.5077184-05:00
700,3,2024342691519045E+103,2021-11-20-17:27:50.5077206-05:00
94,3,01028821300279E+105,2021-11-20-17:27:50.5077226-05:00
1389,4,1812903278608756E+108,2021-11-20-17:27:50.5077248-05:00
1898,7,936089042279941E+111,2021-11-20-17:27:50.5077268-05:00
1288,1,0221682686456565E+115,2021-11-20-17:27:50.5077288-05:00
1390,1,4208138934174625E+118,2021-11-20-17:27:50.5077308-05:00
1167,1,6580898136181787E+121,2021-11-20-17:27:50.5077328-05:00
1237,2,051057099445687E+124,2021-11-20-17:27:50.5077348-05:00
1058,2,170018411213537E+127,2021-11-20-17:27:50.5077372-05:00
1488,3,228987395885743E+130,2021-11-20-17:27:50.5077445-05:00
1300,4,197683614651466E+133,2021-11-20-17:27:50.5077470-05:00
1807,7,585214291675199E+136,2021-11-20-17:27:50.5077492-05:00
1559,1,1825349080721637E+140,2021-11-20-17:27:50.5077512-05:00
441,5,214978944598242E+142,2021-11-20-17:27:50.5077533-05:00
1153,6,012870723121772E+145,2021-11-20-17:27:50.5077553-05:00
284,1,7076552853665835E+148,2021-11-20-17:27:50.5077573-05:00
604,1,0314237923614164E+151,2021-11-20-17:27:50.5077593-05:00
1509,1,5564185026733772E+154,2021-11-20-17:27:50.5077612-05:00
1997,3,108167749838734E+157,2021-11-20-17:27:50.5077632-05:00
1716,5,333615858723268E+160,2021-11-20-17:27:50.5077651-05:00
1815,9,680512783582732E+163,2021-11-20-17:27:50.5077671-05:00
1686,1,6321344553120488E+167,2021-11-20-17:27:50.5077690-05:00
1106,1,805140707575126E+170,2021-11-20-17:27:50.5077710-05:00
47,8,484161325603093E+171,2021-11-20-17:27:50.5077730-05:00
1930,1,6374431358413967E+175,2021-11-20-17:27:50.5077750-05:00
618,1,0119398579499832E+178,2021-11-20-17:27:50.5077773-05:00
1669,1,688927622918522E+181,2021-11-20-17:27:50.5077793-05:00
695,1,1738046979283728E+184,2021-11-20-17:27:50.5077812-05:00
1089,1,278273316043998E+187,2021-11-20-17:27:50.5077832-05:00
1846,2,35969254141722E+190,2021-11-20-17:27:50.5077852-05:00
1052,2,4823965535709156E+193,2021-11-20-17:27:50.5077871-05:00
1828,4,537820899927634E+196,2021-11-20-17:27:50.5077891-05:00
1070,4,855468362922568E+199,2021-11-20-17:27:50.5077911-05:00
1775,8,618456344187559E+202,2021-11-20-17:27:50.5077930-05:00
1090,9,394117415164439E+205,2021-11-20-17:27:50.5077949-05:00
1098,1,0314740921850553E+209,2021-11-20-17:27:50.5077968-05:00
53,5,466812688580793E+210,2021-11-20-17:27:50.5077987-05:00
243,1,3284354833251327E+213,2021-11-20-17:27:50.5078006-05:00
1761,2,3393748861355588E+216,2021-11-20-17:27:50.5078074-05:00
1950,4,5617810279643396E+219,2021-11-20-17:27:50.5078099-05:00
1973,9,000393968173642E+222,2021-11-20-17:27:50.5078120-05:00
222,1,9980874609345486E+225,2021-11-20-17:27:50.5078140-05:00
1234,2,465639926793233E+228,2021-11-20-17:27:50.5078161-05:00
281,6,928448194288985E+230,2021-11-20-17:27:50.5078181-05:00
1833,1,269984554013171E+234,2021-11-20-17:27:50.5078201-05:00
1860,2,362171270464498E+237,2021-11-20-17:27:50.5078221-05:00
1603,3,78656054655459E+240,2021-11-20-17:27:50.5078240-05:00
511,1,9349324392893957E+243,2021-11-20-17:27:50.5078260-05:00
1144,2,2135627105470688E+246,2021-11-20-17:27:50.5078281-05:00
827,1,830616361622426E+249,2021-11-20-17:27:50.5078370-05:00
1830,3,3500279417690396E+252,2021-11-20-17:27:50.5078400-05:00
865,2,8977741696302193E+255,2021-11-20-17:27:50.5078423-05:00
1480,4,2887057710527246E+258,2021-11-20-17:27:50.5078443-05:00
1615,6,92625982025015E+261,2021-11-20-17:27:50.5078464-05:00
1907,1,3208377477217036E+265,2021-11-20-17:27:50.5078484-05:00
1013,1,3380086384420857E+268,2021-11-20-17:27:50.5078504-05:00
988,1,3219525347807808E+271,2021-11-20-17:27:50.5078524-05:00
1343,1,7753822542105884E+274,2021-11-20-17:27:50.5078544-05:00
1968,3,493952276286438E+277,2021-11-20-17:27:50.5078563-05:00
671,2,3444419773882E+280,2021-11-20-17:27:50.5078583-05:00
1721,4,034784643085092E+283,2021-11-20-17:27:50.5078602-05:00
472,1,9044183515361635E+286,2021-11-20-17:27:50.5078622-05:00
149,2,837583343788884E+288,2021-11-20-17:27:50.5078642-05:00
1212,3,439151012672127E+291,2021-11-20-17:27:50.5078662-05:00
437,1,5029089925377194E+294,2021-11-20-17:27:50.5078681-05:00
1472,2,212282037015523E+297,2021-11-20-17:27:50.5078700-05:00
738,1,632664143317456E+300,2021-11-20-17:27:50.5078719-05:00
1783,2,911040167535024E+303,2021-11-20-17:27:50.5078766-05:00
1351,3,9328152663398176E+306,2021-11-20-17:27:50.5078823-05:00
55,∞,2021-11-20-17:27:50.5078847-05:00
232,∞,2021-11-20-17:27:50.5079086-05:00
362,∞,2021-11-20-17:27:50.5079154-05:00
1747,∞,2021-11-20-17:27:50.5079180-05:00
48,∞,2021-11-20-17:27:50.5079199-05:00
1742,∞,2021-11-20-17:27:50.5079216-05:00
1593,∞,2021-11-20-17:27:50.5079232-05:00
453,∞,2021-11-20-17:27:50.5079248-05:00
825,∞,2021-11-20-17:27:50.5079264-05:00
214,∞,2021-11-20-17:27:50.5079282-05:00
70,∞,2021-11-20-17:27:50.5079297-05:00
1014,∞,2021-11-20-17:27:50.5079375-05:00
1158,∞,2021-11-20-17:27:50.5079397-05:00
1550,∞,2021-11-20-17:27:50.5079414-05:00
262,∞,2021-11-20-17:27:50.5079431-05:00
16,∞,2021-11-20-17:27:50.5079447-05:00
187,∞,2021-11-20-17:27:50.5079464-05:00
349,∞,2021-11-20-17:27:50.5079480-05:00
1454,∞,2021-11-20-17:27:50.5079496-05:00
1868,∞,2021-11-20-17:27:50.5079512-05:00
77,∞,2021-11-20-17:27:50.5079527-05:00
110,∞,2021-11-20-17:27:50.5079543-05:00
709,∞,2021-11-20-17:27:50.5079558-05:00
275,∞,2021-11-20-17:27:50.5079573-05:00
1091,∞,2021-11-20-17:27:50.5079588-05:00
230,∞,2021-11-20-17:27:50.5079604-05:00
1502,∞,2021-11-20-17:27:50.5079620-05:00
74,∞,2021-11-20-17:27:50.5079654-05:00
23,∞,2021-11-20-17:27:50.5079675-05:00
1844,∞,2021-11-20-17:27:50.5079692-05:00
362,∞,2021-11-20-17:27:50.5079708-05:00
1123,∞,2021-11-20-17:27:50.5079723-05:00
1820,∞,2021-11-20-17:27:50.5079739-05:00
1160,∞,2021-11-20-17:27:50.5079755-05:00
1089,∞,2021-11-20-17:27:50.5079770-05:00
596,∞,2021-11-20-17:27:50.5079785-05:00
1469,∞,2021-11-20-17:27:50.5079800-05:00
1118,∞,2021-11-20-17:27:50.5079816-05:00
1432,∞,2021-11-20-17:27:50.5079831-05:00
1872,∞,2021-11-20-17:27:50.5079846-05:00
314,∞,2021-11-20-17:27:50.5079861-05:00
561,∞,2021-11-20-17:27:50.5079877-05:00
163,∞,2021-11-20-17:27:50.5079892-05:00
1129,∞,2021-11-20-17:27:50.5079907-05:00
1898,∞,2021-11-20-17:27:50.5079922-05:00
1656,∞,2021-11-20-17:27:50.5079941-05:00
563,∞,2021-11-20-17:27:50.5079958-05:00
921,∞,2021-11-20-17:27:50.5079974-05:00
1886,∞,2021-11-20-17:27:50.5079989-05:00
1196,∞,2021-11-20-17:27:50.5080004-05:00
250,∞,2021-11-20-17:27:50.5080019-05:00
1123,∞,2021-11-20-17:27:50.5080035-05:00
1284,∞,2021-11-20-17:27:50.5080050-05:00
1914,∞,2021-11-20-17:27:50.5080067-05:00
1274,∞,2021-11-20-17:27:50.5080082-05:00
1945,∞,2021-11-20-17:27:50.5080097-05:00
1522,∞,2021-11-20-17:27:50.5080193-05:00
87,∞,2021-11-20-17:27:50.5080219-05:00
657,∞,2021-11-20-17:27:50.5080238-05:00
1818,∞,2021-11-20-17:27:50.5080255-05:00
241,∞,2021-11-20-17:27:50.5080272-05:00
1520,∞,2021-11-20-17:27:50.5080288-05:00
430,∞,2021-11-20-17:27:50.5080303-05:00
981,∞,2021-11-20-17:27:50.5080319-05:00
1852,∞,2021-11-20-17:27:50.5080335-05:00
947,∞,2021-11-20-17:27:50.5080350-05:00
1194,∞,2021-11-20-17:27:50.5080366-05:00
