Start |2021-11-20-17:25:32.9300184-05:00
1055,1055,2021-11-20-17:25:32.9334903-05:00
244,257420,2021-11-20-17:25:32.9338331-05:00
1897,488325740,2021-11-20-17:25:32.9338610-05:00
1823,890217824020,2021-11-20-17:25:32.9338700-05:00
1700,1513370300834000,2021-11-20-17:25:32.9339632-05:00
1913,2,895077385495442E+18,2021-11-20-17:25:32.9339725-05:00
276,7,990413583967419E+20,2021-11-20-17:25:32.9340334-05:00
628,5,017979730731539E+23,2021-11-20-17:25:32.9340456-05:00
268,1,3448185678360525E+26,2021-11-20-17:25:32.9340520-05:00
1893,2,5457415489136475E+29,2021-11-20-17:25:32.9340570-05:00
1434,3,650593381142171E+32,2021-11-20-17:25:32.9340625-05:00
1894,6,914223863883271E+35,2021-11-20-17:25:32.9340677-05:00
198,1,3690163250488877E+38,2021-11-20-17:25:32.9340758-05:00
1588,2,1739979241776336E+41,2021-11-20-17:25:32.9340963-05:00
1080,2,3479177581118443E+44,2021-11-20-17:25:32.9341028-05:00
1940,4,554960450736978E+47,2021-11-20-17:25:32.9341079-05:00
1703,7,757097647605073E+50,2021-11-20-17:25:32.9341127-05:00
1132,8,781034537088942E+53,2021-11-20-17:25:32.9341178-05:00
353,3,0997051915923967E+56,2021-11-20-17:25:32.9341225-05:00
810,2,5107612051898415E+59,2021-11-20-17:25:32.9341269-05:00
1324,3,3242478356713503E+62,2021-11-20-17:25:32.9341306-05:00
932,3,0981989828456985E+65,2021-11-20-17:25:32.9341363-05:00
644,1,9952401449526298E+68,2021-11-20-17:25:32.9341429-05:00
1543,3,0786555436619076E+71,2021-11-20-17:25:32.9341515-05:00
302,9,29753974185896E+73,2021-11-20-17:25:32.9341578-05:00
1365,1,269114174763748E+77,2021-11-20-17:25:32.9341623-05:00
1873,2,3770508493325003E+80,2021-11-20-17:25:32.9341648-05:00
759,1,8041815946433678E+83,2021-11-20-17:25:32.9341672-05:00
1554,2,8036981980757935E+86,2021-11-20-17:25:32.9341695-05:00
890,2,4952913962874562E+89,2021-11-20-17:25:32.9341728-05:00
429,1,0704800090073187E+92,2021-11-20-17:25:32.9341752-05:00
1554,1,6635259339973733E+95,2021-11-20-17:25:32.9341774-05:00
569,9,465462564445054E+97,2021-11-20-17:25:32.9341869-05:00
678,6,4175836186937465E+100,2021-11-20-17:25:32.9341902-05:00
1020,6,5459352910676214E+103,2021-11-20-17:25:32.9341928-05:00
1020,6,676853996888974E+106,2021-11-20-17:25:32.9341951-05:00
1435,9,581285485535677E+109,2021-11-20-17:25:32.9341973-05:00
299,2,8648043601751675E+112,2021-11-20-17:25:32.9341995-05:00
1459,4,17974956149557E+115,2021-11-20-17:25:32.9342021-05:00
1544,6,45353332294916E+118,2021-11-20-17:25:32.9342044-05:00
312,2,0135023967601378E+121,2021-11-20-17:25:32.9342065-05:00
1512,3,0444156239013283E+124,2021-11-20-17:25:32.9342087-05:00
1719,5,233350457486383E+127,2021-11-20-17:25:32.9342115-05:00
1716,8,980429385046634E+130,2021-11-20-17:25:32.9342189-05:00
1520,1,3650252665270884E+134,2021-11-20-17:25:32.9342220-05:00
985,1,344549887529182E+137,2021-11-20-17:25:32.9342246-05:00
1891,2,542543837317683E+140,2021-11-20-17:25:32.9342268-05:00
151,3,8392411943497016E+142,2021-11-20-17:25:32.9342291-05:00
1560,5,989216263185535E+145,2021-11-20-17:25:32.9342314-05:00
1167,6,989415379137519E+148,2021-11-20-17:25:32.9342335-05:00
1023,7,150171932857682E+151,2021-11-20-17:25:32.9342357-05:00
114,8,151196003457757E+153,2021-11-20-17:25:32.9342378-05:00
1443,1,1762175832989545E+157,2021-11-20-17:25:32.9342400-05:00
999,1,1750413657156554E+160,2021-11-20-17:25:32.9342422-05:00
184,2,162076112916806E+162,2021-11-20-17:25:32.9342443-05:00
124,2,680974380016839E+164,2021-11-20-17:25:32.9342465-05:00
1599,4,2868780336469257E+167,2021-11-20-17:25:32.9342486-05:00
355,1,5218417019446586E+170,2021-11-20-17:25:32.9342508-05:00
1522,2,3162430703597702E+173,2021-11-20-17:25:32.9342530-05:00
336,7,782576716408827E+175,2021-11-20-17:25:32.9342552-05:00
41,3,1908564537276193E+177,2021-11-20-17:25:32.9342574-05:00
1517,4,840529240304798E+180,2021-11-20-17:25:32.9342596-05:00
1073,5,193887874847048E+183,2021-11-20-17:25:32.9342617-05:00
1377,7,151983603664385E+186,2021-11-20-17:25:32.9342638-05:00
1465,1,0477655979368324E+190,2021-11-20-17:25:32.9342660-05:00
1879,1,9687515585233083E+193,2021-11-20-17:25:32.9342681-05:00
1326,2,6105645666019066E+196,2021-11-20-17:25:32.9342703-05:00
1520,3,968058141234898E+199,2021-11-20-17:25:32.9342724-05:00
568,2,253857024221422E+202,2021-11-20-17:25:32.9342746-05:00
60,1,3523142145328532E+204,2021-11-20-17:25:32.9342768-05:00
506,6,842709925536237E+206,2021-11-20-17:25:32.9342791-05:00
1405,9,614007445378413E+209,2021-11-20-17:25:32.9342812-05:00
1673,1,6084234456118085E+213,2021-11-20-17:25:32.9342878-05:00
809,1,3012145674999531E+216,2021-11-20-17:25:32.9342908-05:00
499,6,4930606918247664E+218,2021-11-20-17:25:32.9342933-05:00
1812,1,1765425973586477E+222,2021-11-20-17:25:32.9342956-05:00
1213,1,4271461705960396E+225,2021-11-20-17:25:32.9342978-05:00
928,1,3243916463131248E+228,2021-11-20-17:25:32.9343000-05:00
24,3,1785399511515E+229,2021-11-20-17:25:32.9343022-05:00
1316,4,182958575715374E+232,2021-11-20-17:25:32.9343044-05:00
1473,6,161497982028746E+235,2021-11-20-17:25:32.9343065-05:00
1722,1,06100995250535E+239,2021-11-20-17:25:32.9343087-05:00
1198,1,2710899231014092E+242,2021-11-20-17:25:32.9343109-05:00
388,4,931828901633468E+244,2021-11-20-17:25:32.9343201-05:00
1867,9,207724559349685E+247,2021-11-20-17:25:32.9343232-05:00
315,2,9004332361951504E+250,2021-11-20-17:25:32.9343257-05:00
112,3,2484852245385684E+252,2021-11-20-17:25:32.9343281-05:00
1570,5,100121802525553E+255,2021-11-20-17:25:32.9343305-05:00
494,2,519460170447623E+258,2021-11-20-17:25:32.9343329-05:00
897,2,2599557728915177E+261,2021-11-20-17:25:32.9343443-05:00
1421,3,2113971532788465E+264,2021-11-20-17:25:32.9343470-05:00
1081,3,4715203226944332E+267,2021-11-20-17:25:32.9343491-05:00
777,2,6973712907335746E+270,2021-11-20-17:25:32.9345794-05:00
1124,3,0318453307845377E+273,2021-11-20-17:25:32.9345864-05:00
1504,4,559895377499945E+276,2021-11-20-17:25:32.9345889-05:00
795,3,625116825112456E+279,2021-11-20-17:25:32.9345912-05:00
439,1,5914262862243682E+282,2021-11-20-17:25:32.9346033-05:00
342,5,442677898887339E+284,2021-11-20-17:25:32.9346057-05:00
251,1,3661121526207222E+287,2021-11-20-17:25:32.9346080-05:00
1640,2,2404239302979846E+290,2021-11-20-17:25:32.9346103-05:00
1659,3,716863300364357E+293,2021-11-20-17:25:32.9346125-05:00
372,1,3826731477355407E+296,2021-11-20-17:25:32.9346188-05:00
1583,2,188771592865361E+299,2021-11-20-17:25:32.9346238-05:00
1500,3,2831573892980415E+302,2021-11-20-17:25:32.9346265-05:00
662,2,1734501917153033E+305,2021-11-20-17:25:32.9346288-05:00
1618,∞,2021-11-20-17:25:32.9346311-05:00
441,∞,2021-11-20-17:25:32.9346761-05:00
635,∞,2021-11-20-17:25:32.9346831-05:00
500,∞,2021-11-20-17:25:32.9346857-05:00
372,∞,2021-11-20-17:25:32.9346942-05:00
910,∞,2021-11-20-17:25:32.9347058-05:00
672,∞,2021-11-20-17:25:32.9347079-05:00
332,∞,2021-11-20-17:25:32.9347096-05:00
207,∞,2021-11-20-17:25:32.9347113-05:00
863,∞,2021-11-20-17:25:32.9347130-05:00
318,∞,2021-11-20-17:25:32.9347146-05:00
319,∞,2021-11-20-17:25:32.9347163-05:00
686,∞,2021-11-20-17:25:32.9347180-05:00
1510,∞,2021-11-20-17:25:32.9347197-05:00
1151,∞,2021-11-20-17:25:32.9347311-05:00
1768,∞,2021-11-20-17:25:32.9347330-05:00
1756,∞,2021-11-20-17:25:32.9347347-05:00
1026,∞,2021-11-20-17:25:32.9347365-05:00
1670,∞,2021-11-20-17:25:32.9347382-05:00
639,∞,2021-11-20-17:25:32.9347398-05:00
1424,∞,2021-11-20-17:25:32.9347415-05:00
628,∞,2021-11-20-17:25:32.9347432-05:00
549,∞,2021-11-20-17:25:32.9347448-05:00
1304,∞,2021-11-20-17:25:32.9347465-05:00
1704,∞,2021-11-20-17:25:32.9347481-05:00
1373,∞,2021-11-20-17:25:32.9347517-05:00
872,∞,2021-11-20-17:25:32.9347540-05:00
677,∞,2021-11-20-17:25:32.9347558-05:00
383,∞,2021-11-20-17:25:32.9347577-05:00
1656,∞,2021-11-20-17:25:32.9347594-05:00
1102,∞,2021-11-20-17:25:32.9347705-05:00
140,∞,2021-11-20-17:25:32.9347725-05:00
1697,∞,2021-11-20-17:25:32.9347741-05:00
1725,∞,2021-11-20-17:25:32.9347757-05:00
250,∞,2021-11-20-17:25:32.9347773-05:00
1874,∞,2021-11-20-17:25:32.9347789-05:00
1476,∞,2021-11-20-17:25:32.9347805-05:00
1070,∞,2021-11-20-17:25:32.9347821-05:00
123,∞,2021-11-20-17:25:32.9347844-05:00
1987,∞,2021-11-20-17:25:32.9347954-05:00
749,∞,2021-11-20-17:25:32.9347977-05:00
750,∞,2021-11-20-17:25:32.9347993-05:00
570,∞,2021-11-20-17:25:32.9348010-05:00
262,∞,2021-11-20-17:25:32.9348026-05:00
1187,∞,2021-11-20-17:25:32.9348042-05:00
476,∞,2021-11-20-17:25:32.9348058-05:00
1753,∞,2021-11-20-17:25:32.9348075-05:00
831,∞,2021-11-20-17:25:32.9348091-05:00
1100,∞,2021-11-20-17:25:32.9348107-05:00
1872,∞,2021-11-20-17:25:32.9348124-05:00
1903,∞,2021-11-20-17:25:32.9348223-05:00
1345,∞,2021-11-20-17:25:32.9348247-05:00
1912,∞,2021-11-20-17:25:32.9348266-05:00
862,∞,2021-11-20-17:25:32.9348380-05:00
1237,∞,2021-11-20-17:25:32.9348397-05:00
990,∞,2021-11-20-17:25:32.9348414-05:00
1891,∞,2021-11-20-17:25:32.9348431-05:00
1331,∞,2021-11-20-17:25:32.9348447-05:00
796,∞,2021-11-20-17:25:32.9348463-05:00
998,∞,2021-11-20-17:25:32.9348479-05:00
38,∞,2021-11-20-17:25:32.9348591-05:00
1995,∞,2021-11-20-17:25:32.9348610-05:00
1948,∞,2021-11-20-17:25:32.9348627-05:00
550,∞,2021-11-20-17:25:32.9348644-05:00
1760,∞,2021-11-20-17:25:32.9348660-05:00
178,∞,2021-11-20-17:25:32.9348677-05:00
621,∞,2021-11-20-17:25:32.9348694-05:00
960,∞,2021-11-20-17:25:32.9348711-05:00
1261,∞,2021-11-20-17:25:32.9348728-05:00
1277,∞,2021-11-20-17:25:32.9348744-05:00
292,∞,2021-11-20-17:25:32.9348761-05:00
687,∞,2021-11-20-17:25:32.9348778-05:00
904,∞,2021-11-20-17:25:32.9348795-05:00
1683,∞,2021-11-20-17:25:32.9348812-05:00
1889,∞,2021-11-20-17:25:32.9348828-05:00
675,∞,2021-11-20-17:25:32.9348845-05:00
58,∞,2021-11-20-17:25:32.9348862-05:00
288,∞,2021-11-20-17:25:32.9348878-05:00
117,∞,2021-11-20-17:25:32.9348895-05:00
1228,∞,2021-11-20-17:25:32.9349006-05:00
1620,∞,2021-11-20-17:25:32.9349117-05:00
41,∞,2021-11-20-17:25:32.9349137-05:00
1576,∞,2021-11-20-17:25:32.9349154-05:00
511,∞,2021-11-20-17:25:32.9349170-05:00
1753,∞,2021-11-20-17:25:32.9349237-05:00
1756,∞,2021-11-20-17:25:32.9349259-05:00
227,∞,2021-11-20-17:25:32.9349277-05:00
835,∞,2021-11-20-17:25:32.9349295-05:00
489,∞,2021-11-20-17:25:32.9349312-05:00
1260,∞,2021-11-20-17:25:32.9349398-05:00
1982,∞,2021-11-20-17:25:32.9349423-05:00
146,∞,2021-11-20-17:25:32.9349441-05:00
274,∞,2021-11-20-17:25:32.9349459-05:00
1124,∞,2021-11-20-17:25:32.9349476-05:00
1949,∞,2021-11-20-17:25:32.9349493-05:00
754,∞,2021-11-20-17:25:32.9349510-05:00
802,∞,2021-11-20-17:25:32.9349528-05:00
21,∞,2021-11-20-17:25:32.9349545-05:00
501,∞,2021-11-20-17:25:32.9349562-05:00
1009,∞,2021-11-20-17:25:32.9349581-05:00
1854,∞,2021-11-20-17:25:32.9349598-05:00
793,∞,2021-11-20-17:25:32.9349615-05:00
1570,∞,2021-11-20-17:25:32.9349632-05:00
1823,∞,2021-11-20-17:25:32.9349649-05:00
1580,∞,2021-11-20-17:25:32.9349665-05:00
1216,∞,2021-11-20-17:25:32.9349682-05:00
442,∞,2021-11-20-17:25:32.9349699-05:00
230,∞,2021-11-20-17:25:32.9349715-05:00
973,∞,2021-11-20-17:25:32.9349732-05:00
563,∞,2021-11-20-17:25:32.9349749-05:00
932,∞,2021-11-20-17:25:32.9349766-05:00
1604,∞,2021-11-20-17:25:32.9349782-05:00
1214,∞,2021-11-20-17:25:32.9349799-05:00
1568,∞,2021-11-20-17:25:32.9349816-05:00
1378,∞,2021-11-20-17:25:32.9349832-05:00
1997,∞,2021-11-20-17:25:32.9349849-05:00
419,∞,2021-11-20-17:25:32.9349866-05:00
1437,∞,2021-11-20-17:25:32.9349883-05:00
796,∞,2021-11-20-17:25:32.9349899-05:00
5,∞,2021-11-20-17:25:32.9349916-05:00
1950,∞,2021-11-20-17:25:32.9349933-05:00
1785,∞,2021-11-20-17:25:32.9349950-05:00
472,∞,2021-11-20-17:25:32.9349967-05:00
2,∞,2021-11-20-17:25:32.9350030-05:00
1294,∞,2021-11-20-17:25:32.9350054-05:00
146,∞,2021-11-20-17:25:32.9350072-05:00
413,∞,2021-11-20-17:25:32.9350090-05:00
1779,∞,2021-11-20-17:25:32.9350107-05:00
1733,∞,2021-11-20-17:25:32.9350123-05:00
1135,∞,2021-11-20-17:25:32.9350140-05:00
1873,∞,2021-11-20-17:25:32.9350156-05:00
38,∞,2021-11-20-17:25:32.9350173-05:00
1787,∞,2021-11-20-17:25:32.9350189-05:00
1107,∞,2021-11-20-17:25:32.9350206-05:00
1374,∞,2021-11-20-17:25:32.9350222-05:00
827,∞,2021-11-20-17:25:32.9350239-05:00
471,∞,2021-11-20-17:25:32.9350256-05:00
1753,∞,2021-11-20-17:25:32.9350272-05:00
931,∞,2021-11-20-17:25:32.9350289-05:00
537,∞,2021-11-20-17:25:32.9350305-05:00
1315,∞,2021-11-20-17:25:32.9350321-05:00
1997,∞,2021-11-20-17:25:32.9350337-05:00
1862,∞,2021-11-20-17:25:32.9350354-05:00
1925,∞,2021-11-20-17:25:32.9350370-05:00
328,∞,2021-11-20-17:25:32.9350386-05:00
378,∞,2021-11-20-17:25:32.9350403-05:00
