Start |2021-11-20-17:15:22.8121997-05:00
686,686,2021-11-20-17:15:22.8155564-05:00
1573,1079078,2021-11-20-17:15:22.8157745-05:00
1476,1592719128,2021-11-20-17:15:22.8157896-05:00
677,1078270849656,2021-11-20-17:15:22.8157932-05:00
201,216732440780856,2021-11-20-17:15:22.8157956-05:00
909,1,970097886697981E+17,2021-11-20-17:15:22.8157978-05:00
1064,2,096184151446652E+20,2021-11-20-17:15:22.8158144-05:00
89,1,8656038947875201E+22,2021-11-20-17:15:22.8158185-05:00
1111,2,072685927108935E+25,2021-11-20-17:15:22.8158211-05:00
539,1,117177714711716E+28,2021-11-20-17:15:22.8158232-05:00
1164,1,3003948599244373E+31,2021-11-20-17:15:22.8158253-05:00
937,1,2184699837491978E+34,2021-11-20-17:15:22.8158275-05:00
17,2,071398972373636E+35,2021-11-20-17:15:22.8158296-05:00
1164,2,4111084038429124E+38,2021-11-20-17:15:22.8158392-05:00
573,1,3815651154019889E+41,2021-11-20-17:15:22.8158423-05:00
1570,2,1690572311811226E+44,2021-11-20-17:15:22.8158444-05:00
787,1,7070480409395434E+47,2021-11-20-17:15:22.8158466-05:00
1447,2,4700985152395195E+50,2021-11-20-17:15:22.8158487-05:00
339,8,373633966661971E+52,2021-11-20-17:15:22.8158508-05:00
184,1,5407486498658028E+55,2021-11-20-17:15:22.8158528-05:00
351,5,4080277610289676E+57,2021-11-20-17:15:22.8158547-05:00
1491,8,063369391694191E+60,2021-11-20-17:15:22.8158577-05:00
1910,1,5401035538135905E+64,2021-11-20-17:15:22.8158607-05:00
1304,2,0082950341729218E+67,2021-11-20-17:15:22.8158627-05:00
1058,2,1247761461549513E+70,2021-11-20-17:15:22.8158647-05:00
1905,4,0476985584251825E+73,2021-11-20-17:15:22.8158668-05:00
565,2,286949685510228E+76,2021-11-20-17:15:22.8158688-05:00
174,3,979292452787796E+78,2021-11-20-17:15:22.8158708-05:00
502,1,9976048112994737E+81,2021-11-20-17:15:22.8158728-05:00
327,6,532167732949279E+83,2021-11-20-17:15:22.8158753-05:00
1990,1,2999013788569065E+87,2021-11-20-17:15:22.8158773-05:00
265,3,4447386539708023E+89,2021-11-20-17:15:22.8158793-05:00
1376,4,739960387863824E+92,2021-11-20-17:15:22.8158812-05:00
1440,6,825542958523907E+95,2021-11-20-17:15:22.8158879-05:00
706,4,8188333287178784E+98,2021-11-20-17:15:22.8158906-05:00
1188,5,724773994516839E+101,2021-11-20-17:15:22.8158928-05:00
1773,1,0150024292278355E+105,2021-11-20-17:15:22.8158949-05:00
242,2,4563058787313622E+107,2021-11-20-17:15:22.8158969-05:00
163,4,0037785823321206E+109,2021-11-20-17:15:22.8158990-05:00
1674,6,70232534682397E+112,2021-11-20-17:15:22.8159011-05:00
1064,7,131274169020704E+115,2021-11-20-17:15:22.8159031-05:00
828,5,904695011949143E+118,2021-11-20-17:15:22.8159051-05:00
66,3,8970987078864344E+120,2021-11-20-17:15:22.8159073-05:00
464,1,8082538004593055E+123,2021-11-20-17:15:22.8159144-05:00
759,1,372464634548613E+126,2021-11-20-17:15:22.8159172-05:00
700,9,607252441840291E+128,2021-11-20-17:15:22.8159194-05:00
1834,1,7619700978335095E+132,2021-11-20-17:15:22.8159214-05:00
1166,2,054457134073872E+135,2021-11-20-17:15:22.8159234-05:00
1584,3,254260100373013E+138,2021-11-20-17:15:22.8159254-05:00
1992,6,482486119943042E+141,2021-11-20-17:15:22.8159274-05:00
1070,6,936260148339055E+144,2021-11-20-17:15:22.8159294-05:00
1694,1,1750024691286359E+148,2021-11-20-17:15:22.8159314-05:00
1808,2,1244044641845736E+151,2021-11-20-17:15:22.8159334-05:00
1060,2,251868732035648E+154,2021-11-20-17:15:22.8159354-05:00
498,1,1214306285537526E+157,2021-11-20-17:15:22.8159374-05:00
1195,1,3401096011217344E+160,2021-11-20-17:15:22.8159394-05:00
1663,2,2286022666654445E+163,2021-11-20-17:15:22.8159414-05:00
173,3,855481921331219E+165,2021-11-20-17:15:22.8159434-05:00
1618,6,238169748713912E+168,2021-11-20-17:15:22.8159453-05:00
296,1,846498245619318E+171,2021-11-20-17:15:22.8159473-05:00
345,6,370418947386647E+173,2021-11-20-17:15:22.8159492-05:00
891,5,676043282121502E+176,2021-11-20-17:15:22.8159512-05:00
1586,9,002204645444702E+179,2021-11-20-17:15:22.8159532-05:00
784,7,057728442028647E+182,2021-11-20-17:15:22.8159551-05:00
548,3,8676351862316984E+185,2021-11-20-17:15:22.8159571-05:00
900,3,4808716676085287E+188,2021-11-20-17:15:22.8159591-05:00
1561,5,433640673136913E+191,2021-11-20-17:15:22.8159610-05:00
576,3,129777027726862E+194,2021-11-20-17:15:22.8159630-05:00
458,1,4334378786989029E+197,2021-11-20-17:15:22.8159650-05:00
1385,1,9853114619979804E+200,2021-11-20-17:15:22.8159669-05:00
1797,3,567604697210371E+203,2021-11-20-17:15:22.8159689-05:00
545,1,944344559979652E+206,2021-11-20-17:15:22.8159708-05:00
1284,2,4965384150138733E+209,2021-11-20-17:15:22.8159769-05:00
665,1,6601980459842257E+212,2021-11-20-17:15:22.8159797-05:00
1120,1,859421811502333E+215,2021-11-20-17:15:22.8159819-05:00
1523,2,831899418918053E+218,2021-11-20-17:15:22.8159839-05:00
1426,4,038288571377143E+221,2021-11-20-17:15:22.8159859-05:00
1446,5,839365274211349E+224,2021-11-20-17:15:22.8159879-05:00
545,3,1824540744451853E+227,2021-11-20-17:15:22.8159899-05:00
359,1,1425010127258216E+230,2021-11-20-17:15:22.8159919-05:00
72,8,226007291625916E+231,2021-11-20-17:15:22.8159938-05:00
