Start |2021-11-20-17:50:57.4881600-05:00
1154|769,3333333333333|2021-11-20-17:50:57.4916872-05:00
1179|1179|2021-11-20-17:50:57.4920481-05:00
1164|1746|2021-11-20-17:50:57.4920797-05:00
1341|3017,25|2021-11-20-17:50:57.4920888-05:00
1010|3408,75|2021-11-20-17:50:57.4920936-05:00
1364|6905,25|2021-11-20-17:50:57.4920985-05:00
761|5778,84375|2021-11-20-17:50:57.4921034-05:00
1936|22052,25|2021-11-20-17:50:57.4921085-05:00
522|8918,859375|2021-11-20-17:50:57.4921153-05:00
197|5048,89453125|2021-11-20-17:50:57.4921225-05:00
1651|63469,986328125|2021-11-20-17:50:57.4921253-05:00
1288|74272,5703125|2021-11-20-17:50:57.4921278-05:00
1950|168670,2392578125|2021-11-20-17:50:57.4921310-05:00
1426|185018,27783203125|2021-11-20-17:50:57.4921412-05:00
1240|241328,1884765625|2021-11-20-17:50:57.4921669-05:00
970|283171,38244628906|2021-11-20-17:50:57.4921786-05:00
1394|610424,083190918|2021-11-20-17:50:57.4921827-05:00
397|260765,81172180176|2021-11-20-17:50:57.4921852-05:00
477|469969,6178512573|2021-11-20-17:50:57.4921876-05:00
370|546819,9956130981|2021-11-20-17:50:57.4921899-05:00
1591|3526988,971704483|2021-11-20-17:50:57.4921921-05:00
835|2776589,3696165085|2021-11-20-17:50:57.4921944-05:00
1569|7825991,714242458|2021-11-20-17:50:57.4921982-05:00
789|5903162,0100739|2021-11-20-17:50:57.4922018-05:00
687|7710023,3857809305|2021-11-20-17:50:57.4922042-05:00
1738|29257686,99669707|2021-11-20-17:50:57.4922065-05:00
180|4545210,292927623|2021-11-20-17:50:57.4922088-05:00
1610|60981571,43011227|2021-11-20-17:50:57.4922111-05:00
553|31418766,149862193|2021-11-20-17:50:57.4922134-05:00
1874|159707326,66774434|2021-11-20-17:50:57.4922168-05:00
72|9204050,843178436|2021-11-20-17:50:57.4922192-05:00
1959|375640325,03721994|2021-11-20-17:50:57.4922214-05:00
1263|363272381,7166989|2021-11-20-17:50:57.4922237-05:00
675|291221921,2099427|2021-11-20-17:50:57.4922260-05:00
1327|858781087,6568755|2021-11-20-17:50:57.4922356-05:00
1456|1413397057,6055884|2021-11-20-17:50:57.4922390-05:00
1767|2572945673,8898435|2021-11-20-17:50:57.4922416-05:00
770|1681806594,9874194|2021-11-20-17:50:57.4922441-05:00
1708|5595829216,049049|2021-11-20-17:50:57.4922463-05:00
1796|8826208377,070337|2021-11-20-17:50:57.4922486-05:00
461|3398286799,968897|2021-11-20-17:50:57.4922509-05:00
74|818242591,749561|2021-11-20-17:50:57.4922532-05:00
1693|28080095429,02716|2021-11-20-17:50:57.4922555-05:00
931|23162346879,289093|2021-11-20-17:50:57.4922578-05:00
376|14031754715,272875|2021-11-20-17:50:57.4922601-05:00
37|2071176560,366076|2021-11-20-17:50:57.4922624-05:00
674|56593500068,38116|2021-11-20-17:50:57.4922731-05:00
910|114614432631,06866|2021-11-20-17:50:57.4922763-05:00
1213|229165890299,15323|2021-11-20-17:50:57.4922788-05:00
582|164931428055,3675|2021-11-20-17:50:57.4922830-05:00
169|71838689024,11626|2021-11-20-17:50:57.4922954-05:00
1172|747292398250,8661|2021-11-20-17:50:57.4923021-05:00
1652|1580026077530,4148|2021-11-20-17:50:57.4923049-05:00
1748|2507765360341,857|2021-11-20-17:50:57.4923074-05:00
1750|3765951985639,2305|2021-11-20-17:50:57.4923099-05:00
319|1029718871501,9268|2021-11-20-17:50:57.4923124-05:00
1609|7790678672005,956|2021-11-20-17:50:57.4923148-05:00
375|2723590275328,372|2021-11-20-17:50:57.4923172-05:00
654|7124912160259,021|2021-11-20-17:50:57.4923196-05:00
1272|20786440981306,137|2021-11-20-17:50:57.4923220-05:00
1185|29047090286377,09|2021-11-20-17:50:57.4923245-05:00
1150|42283739024472,98|2021-11-20-17:50:57.4923269-05:00
1383|76276188353277,56|2021-11-20-17:50:57.4923292-05:00
648|53608427389288,35|2021-11-20-17:50:57.4923315-05:00
126|15635791321875,766|2021-11-20-17:50:57.4923338-05:00
1691|314763370539189,56|2021-11-20-17:50:57.4923361-05:00
26|7259474542299,464|2021-11-20-17:50:57.4923384-05:00
1275|533990194697989,4|2021-11-20-17:50:57.4923407-05:00
100|62822375846822,28|2021-11-20-17:50:57.4923430-05:00
1783|1680184442023262|2021-11-20-17:50:57.4923452-05:00
1203|1700444658233862|2021-11-20-17:50:57.4923475-05:00
624|1323039235334077,2|2021-11-20-17:50:57.4923498-05:00
689|2191283733522065,5|2021-11-20-17:50:57.4925452-05:00
680|3243990432790285|2021-11-20-17:50:57.4925521-05:00
1908|13653383262714408|2021-11-20-17:50:57.4925548-05:00
1518|16293896063522382|2021-11-20-17:50:57.4925573-05:00
1141|18370884790987190|2021-11-20-17:50:57.4925597-05:00
638|15408358233983124|2021-11-20-17:50:57.4925654-05:00
414|14997790694833102|2021-11-20-17:50:57.4925681-05:00
651|35375223704117204|2021-11-20-17:50:57.4925705-05:00
1065|86807864619550290|2021-11-20-17:50:57.4925728-05:00
1269|1,5515377493268918E+17|2021-11-20-17:50:57.4925752-05:00
