Start |2021-11-20-17:50:49.4234226-05:00
905|603,3333333333333|2021-11-20-17:50:49.4281917-05:00
434|434|2021-11-20-17:50:49.4284518-05:00
1165|1747,5|2021-11-20-17:50:49.4284665-05:00
1184|2664|2021-11-20-17:50:49.4284705-05:00
35|118,125|2021-11-20-17:50:49.4284731-05:00
365|1847,8125|2021-11-20-17:50:49.4284756-05:00
1388|10540,125|2021-11-20-17:50:49.4284782-05:00
1356|15445,6875|2021-11-20-17:50:49.4284805-05:00
1636|27952,59375|2021-11-20-17:50:49.4284829-05:00
287|7355,49609375|2021-11-20-17:50:49.4284852-05:00
704|27064,125|2021-11-20-17:50:49.4284875-05:00
863|49764,9287109375|2021-11-20-17:50:49.4284897-05:00
50|4324,8779296875|2021-11-20-17:50:49.4284920-05:00
1486|192803,05810546875|2021-11-20-17:50:49.4284955-05:00
1569|305358,00622558594|2021-11-20-17:50:49.4285074-05:00
1431|417750,77142333984|2021-11-20-17:50:49.4285104-05:00
1513|662533,4561462402|2021-11-20-17:50:49.4285127-05:00
742|487375,8999938965|2021-11-20-17:50:49.4285150-05:00
259|255182,6646194458|2021-11-20-17:50:49.4285174-05:00
1645|2431132,1426582336|2021-11-20-17:50:49.4285195-05:00
960|2128164,3072509766|2021-11-20-17:50:49.4285218-05:00
194|645099,8056354523|2021-11-20-17:50:49.4285240-05:00
191|952686,05316782|2021-11-20-17:50:49.4285274-05:00
1046|7825991,714242458|2021-11-20-17:50:49.4285297-05:00
506|5678707,180793524|2021-11-20-17:50:49.4285329-05:00
1697|28567488,39665991|2021-11-20-17:50:49.4285354-05:00
312|7878364,507741213|2021-11-20-17:50:49.4285375-05:00
1046|39619083,053352445|2021-11-20-17:50:49.4285396-05:00
810|46020254,21589218|2021-11-20-17:50:49.4285419-05:00
1197|102011563,51189433|2021-11-20-17:50:49.4285447-05:00
24|3068016,9477261454|2021-11-20-17:50:49.4285469-05:00
330|63277849,54685175|2021-11-20-17:50:49.4285490-05:00
1629|468543713,23555225|2021-11-20-17:50:49.4285513-05:00
1786|770551631,5273447|2021-11-20-17:50:49.4285534-05:00
1488|962973819,4675438|2021-11-20-17:50:49.4285612-05:00
569|552350910,5615246|2021-11-20-17:50:49.4285643-05:00
574|835806913,8725355|2021-11-20-17:50:49.4285667-05:00
105|229337262,9528299|2021-11-20-17:50:49.4285691-05:00
