Start |2021-11-20-17:51:05.6865229-05:00
378|252|2021-11-20-17:51:05.6899751-05:00
1707|1707|2021-11-20-17:51:05.6901922-05:00
165|247,5|2021-11-20-17:51:05.6902071-05:00
267|600,75|2021-11-20-17:51:05.6902111-05:00
765|2581,875|2021-11-20-17:51:05.6902137-05:00
1676|8484,75|2021-11-20-17:51:05.6902162-05:00
1354|10281,9375|2021-11-20-17:51:05.6902186-05:00
138|1571,90625|2021-11-20-17:51:05.6902212-05:00
895|15291,9140625|2021-11-20-17:51:05.6902236-05:00
1190|30498,3984375|2021-11-20-17:51:05.6902260-05:00
750|28832,51953125|2021-11-20-17:51:05.6902284-05:00
730|42095,478515625|2021-11-20-17:51:05.6902307-05:00
1459|126199,93798828125|2021-11-20-17:51:05.6902329-05:00
526|68246,57373046875|2021-11-20-17:51:05.6902363-05:00
1007|195981,84338378906|2021-11-20-17:51:05.6902468-05:00
1069|312072,3792114258|2021-11-20-17:51:05.6902502-05:00
1677|734348,0541687012|2021-11-20-17:51:05.6902527-05:00
1278|839442,5878601074|2021-11-20-17:51:05.6902551-05:00
1200|1182313,5040283203|2021-11-20-17:51:05.6902574-05:00
419|619236,6977348328|2021-11-20-17:51:05.6902598-05:00
1270|2815384,0314674377|2021-11-20-17:51:05.6902620-05:00
379|1260272,3007001877|2021-11-20-17:51:05.6902644-05:00
449|2239560,407708645|2021-11-20-17:51:05.6902675-05:00
1287|9629112,176128149|2021-11-20-17:51:05.6902698-05:00
581|6520412,790594935|2021-11-20-17:51:05.6902732-05:00
408|6868317,775979519|2021-11-20-17:51:05.6902758-05:00
1988|50199322,56855619|2021-11-20-17:51:05.6902780-05:00
674|25528931,145276815|2021-11-20-17:51:05.6902803-05:00
1105|62780717,17106279|2021-11-20-17:51:05.6902825-05:00
1035|88205487,24712668|2021-11-20-17:51:05.6902853-05:00
1258|160815221,67664546|2021-11-20-17:51:05.6902876-05:00
1865|357615725,4693288|2021-11-20-17:51:05.6902899-05:00
1160|333646843,0652183|2021-11-20-17:51:05.6902921-05:00
1018|439205801,172921|2021-11-20-17:51:05.6902942-05:00
929|601211477,342304|2021-11-20-17:51:05.6903018-05:00
372|361115182,3003289|2021-11-20-17:51:05.6903048-05:00
363|528567786,996046|2021-11-20-17:51:05.6903072-05:00
1750|3822287715,8804984|2021-11-20-17:51:05.6903094-05:00
7|22933726,29528299|2021-11-20-17:51:05.6903117-05:00
1907|9371703438,236712|2021-11-20-17:51:05.6903140-05:00
1010|7445270429,432941|2021-11-20-17:51:05.6903162-05:00
1584|17514814396,36898|2021-11-20-17:51:05.6903184-05:00
1589|26355151586,96052|2021-11-20-17:51:05.6903206-05:00
405|10075994077,456587|2021-11-20-17:51:05.6903228-05:00
1207|45043425375,88925|2021-11-20-17:51:05.6903250-05:00
