Start |2021-11-20-17:47:46.5542870-05:00
1343|895,3333333333333|2021-11-20-17:47:46.5605177-05:00
267|267|2021-11-20-17:47:46.5610349-05:00
1671|2506,5|2021-11-20-17:47:46.5610621-05:00
290|652,5|2021-11-20-17:47:46.5610743-05:00
976|3294|2021-11-20-17:47:46.5610863-05:00
183|926,4375|2021-11-20-17:47:46.5610971-05:00
624|4738,5|2021-11-20-17:47:46.5611080-05:00
342|3895,59375|2021-11-20-17:47:46.5611157-05:00
749|12797,3671875|2021-11-20-17:47:46.5611264-05:00
1690|43312,8515625|2021-11-20-17:47:46.5611371-05:00
1017|39096,896484375|2021-11-20-17:47:46.5611469-05:00
1285|74099,5751953125|2021-11-20-17:47:46.5611577-05:00
115|9947,21923828125|2021-11-20-17:47:46.5611674-05:00
1954|253524,34423828125|2021-11-20-17:47:46.5611917-05:00
1222|237825,03735351562|2021-11-20-17:47:46.5612037-05:00
1334|389433,63317871094|2021-11-20-17:47:46.5615720-05:00
619|271056,31814575195|2021-11-20-17:47:46.5615849-05:00
268|176033,34393310547|2021-11-20-17:47:46.5615962-05:00
218|214786,95323181152|2021-11-20-17:47:46.5616057-05:00
1101|1627158,9599189758|2021-11-20-17:47:46.5616142-05:00
793|1757952,3913021088|2021-11-20-17:47:46.5616197-05:00
938|3119090,8128147125|2021-11-20-17:47:46.5616248-05:00
729|3636168,2343420982|2021-11-20-17:47:46.5616312-05:00
1671|12502133,990916967|2021-11-20-17:47:46.5616377-05:00
1386|15554719,669130087|2021-11-20-17:47:46.5616430-05:00
1292|21749672,957268476|2021-11-20-17:47:46.5616536-05:00
1539|38861548,004531175|2021-11-20-17:47:46.5616640-05:00
1199|45414226,176835164|2021-11-20-17:47:46.5616749-05:00
1575|89483827,64201257|2021-11-20-17:47:46.5616833-05:00
1536|130902056,43631554|2021-11-20-17:47:46.5616946-05:00
600|76700423,69315363|2021-11-20-17:47:46.5617167-05:00
1970|377749586,6887817|2021-11-20-17:47:46.5617286-05:00
554|159345130,22252667|2021-11-20-17:47:46.5617392-05:00
434|187244909,3409113|2021-11-20-17:47:46.5617474-05:00
292|188970668,87400725|2021-11-20-17:47:46.5617583-05:00
133|129108385,06974126|2021-11-20-17:47:46.5617679-05:00
1245|1812856459,5318933|2021-11-20-17:47:46.5617788-05:00
1133|2474658275,481488|2021-11-20-17:47:46.5617895-05:00
1517|4970066112,849185|2021-11-20-17:47:46.5617977-05:00
869|4270587460,8430533|2021-11-20-17:47:46.5618086-05:00
185|1363737652,9159348|2021-11-20-17:47:46.5618180-05:00
659|7286781999,499468|2021-11-20-17:47:46.5618292-05:00
1477|24497519757,0426|2021-11-20-17:47:46.5618400-05:00
515|12812683826,88924|2021-11-20-17:47:46.5618474-05:00
1893|70643914031,94562|2021-11-20-17:47:46.5618583-05:00
1126|63030940728,97842|2021-11-20-17:47:46.5618845-05:00
1228|103111006059,30573|2021-11-20-17:47:46.5618950-05:00
1678|211343975774,6519|2021-11-20-17:47:46.5619061-05:00
755|142638291158,99478|2021-11-20-17:47:46.5619170-05:00
820|232377613411,34253|2021-11-20-17:47:46.5619246-05:00
1434|609566154204,6313|2021-11-20-17:47:46.5619356-05:00
1301|829545571778,4785|2021-11-20-17:47:46.5619464-05:00
355|339533448863,9814|2021-11-20-17:47:46.5619553-05:00
1854|2659838088142,9077|2021-11-20-17:47:46.5619659-05:00
412|886612696047,636|2021-11-20-17:47:46.5619742-05:00
406|1310551291002,4521|2021-11-20-17:47:46.5619800-05:00
1537|7442059116763,924|2021-11-20-17:47:46.5619869-05:00
1999|14518551894350,441|2021-11-20-17:47:46.5619954-05:00
904|9848502435587,393|2021-11-20-17:47:46.5620065-05:00
1683|27502814600265,902|2021-11-20-17:47:46.5620176-05:00
644|15785929235803,244|2021-11-20-17:47:46.5620265-05:00
1424|52358299452912,625|2021-11-20-17:47:46.5620344-05:00
766|42246970555756,05|2021-11-20-17:47:46.5620456-05:00
1213|100350343245689,45|2021-11-20-17:47:46.5620556-05:00
1090|135262004292417,34|2021-11-20-17:47:46.5620646-05:00
1047|194888970404808,66|2021-11-20-17:47:46.5620733-05:00
731|204102918862342,62|2021-11-20-17:47:46.5620865-05:00
1681|704029425323388,4|2021-11-20-17:47:46.5621681-05:00
1662|1044107886574186,2|2021-11-20-17:47:46.5621805-05:00
1090|1027145845095544,2|2021-11-20-17:47:46.5621958-05:00
89|125801807633261,61|2021-11-20-17:47:46.5622133-05:00
1485|3148578949472924|2021-11-20-17:47:46.5622215-05:00
751|2388467465711279|2021-11-20-17:47:46.5622325-05:00
1349|6435504549756022|2021-11-20-17:47:46.5622433-05:00
917|6561924765151526|2021-11-20-17:47:46.5622522-05:00
134|1438328111009222,2|2021-11-20-17:47:46.5622741-05:00
1460|23507004202314900|2021-11-20-17:47:46.5622917-05:00
215|5192471818662024|2021-11-20-17:47:46.5622998-05:00
1778|64410801583123810|2021-11-20-17:47:46.5623109-05:00
260|14128353553103646|2021-11-20-17:47:46.5623200-05:00
65|5298132582413867|2021-11-20-17:47:46.5623283-05:00
1860|2,2741215238361062E+17|2021-11-20-17:47:46.5623336-05:00
445|81611619202182850|2021-11-20-17:47:46.5623670-05:00
756|2,079720812927536E+17|2021-11-20-17:47:46.5623798-05:00
102|42089587880676320|2021-11-20-17:47:46.5623921-05:00
